"from","to","weight"
"Hayri Volkan Agun","Özgür Yilmazel",2
"Sibel Yilmazel","Özgür Yilmazel",2
"A. Aziz Altowayan","Ashraf Elnagar",2
"Aras Can Onal","A. Murat Ozbayoglu",2
"A. Murat Ozbayoglu","Erdogan Dogdu",2
"Gokberk Serin","A. Murat Ozbayoglu",2
"A. Murat Ozbayoglu","Hakki Özgür Ünver",2
"M. Ugur Gudelek","A. Murat Ozbayoglu",2
"Omer Berat Sezer","A. Murat Ozbayoglu",2
"A. P. Giri","Abhijin Adiga",2
"Achla Marathe","A. P. Giri",2
"Bowen Shi","A. P. Giri",2
"A. P. Giri","G. Norton",2
"A. P. Giri","K. S. Nitin",2
"Lalit P. Sah","A. P. Giri",2
"A. P. Giri","Luke A. Colavito",2
"Madhav Marathe","A. P. Giri",2
"A. P. Giri","R. Asokan",2
"A. P. Giri","Rangaswamy Muniappan",2
"Sichao Wu","A. P. Giri",2
"Srinivasan Venkatramanan","A. P. Giri",2
"Stephen G. Eubank","A. P. Giri",2
"A. P. Giri","V. Sridhar",2
"Benjamin Paul Chamberlain","Ângelo Cardoso",2
"Ângelo Cardoso","C. H. Bryan Liu",2
"Ângelo Cardoso","Marc Peter Deisenroth",2
"Ângelo Cardoso","Roberto Pagliari",2
"Cinar Kilcioglu","Aadharsh Kannan",2
"Justin M. Rao","Aadharsh Kannan",2
"Aadharsh Kannan","R. Preston McAfee",2
"Ashequl Qadir","Aaditya Prakash",2
"Aaditya Prakash","Joey Liu",2
"Kathy Lee","Aaditya Prakash",2
"Aaditya Prakash","Oladimeji Farri",2
"Sadid A. Hasan","Aaditya Prakash",2
"Vivek V. Datla","Aaditya Prakash",2
"Adam Gray","Aakanksha Singh",2
"Brittni Ballard","Aakanksha Singh",2
"Carl Apgar","Aakanksha Singh",2
"David Baasch","Aakanksha Singh",2
"Keona Holden","Aakanksha Singh",2
"Leigh Plummer","Aakanksha Singh",2
"Luis Beteta","Aakanksha Singh",2
"Marisa Gilman","Aakanksha Singh",2
"Mayanka Jha","Aakanksha Singh",2
"Aakanksha Singh","Namrata Walanj",2
"Richard Marciano","Aakanksha Singh",2
"Riss Hardcastle","Aakanksha Singh",2
"Sandra Laib","Aakanksha Singh",2
"Tricia Glaser","Aakanksha Singh",2
"Waleed Falak","Aakanksha Singh",2
"William Underwood","Aakanksha Singh",2
"Yun Huang","Aakanksha Singh",2
"Zeynep Diker","Aakanksha Singh",2
"Aaron Archer","Peter Likarish",2
"Aaron Archer","Sergei Vassilvitskii",2
"Aaron Archer","Silvio Lattanzi",2
