"from","to","weight"
"Kwan Hui Lim 0001","Aaron Harwood",4
"Aaron Harwood","Lucia Falzon",2
"Masud Moshtaghi","Aaron Harwood",2
"Pasan Karunaratne","Aaron Harwood",2
"Shanika Karunasekera","Aaron Harwood",6
"Aaron Harwood","Trevor Cohn",2
"Chao Shang","Aaron Palmer",2
"Aaron Palmer","Jiangwen Sun",2
"Aaron Palmer","Jin Lu",2
"Aaron Palmer","Jinbo Bi",2
"Aaron Palmer","Ko-Shin Chen",2
"Courtney Napoles","Aasish Pappu",2
"Aasish Pappu","Joel R. Tetreault",2
"Abdalghani Abujabal","Gerhard Weikum",2
"Abdalghani Abujabal","Mirek Riedewald",2
"Abdalghani Abujabal","Mohamed Yahya",2
"Christophe Claramunt","Abdel-Ouahab Boudraa",2
"Iwao Fujino","Abdel-Ouahab Boudraa",2
"Celestine Dünner","Abdel Labbi",2
"Cesar Berrospi","Abdel Labbi",2
"Haralampos Pozidis","Abdel Labbi",2
"Kubilay Atasu","Abdel Labbi",2
"Manolis Sifalakis","Abdel Labbi",2
"Michail Vlachos","Abdel Labbi",2
"Thomas P. Parnell","Abdel Labbi",2
"Vasileios Vasileiadis","Abdel Labbi",2
"Abdeltawab M. Hendawi","Aqeel Rustum",2
"Abdeltawab M. Hendawi","John A. Stankovic",2
"Abdeltawab M. Hendawi","Mohamed H. Ali",2
"Achla Marathe","Abhijin Adiga",2
"Bowen Shi","Abhijin Adiga",2
"G. Norton","Abhijin Adiga",2
"K. S. Nitin","Abhijin Adiga",2
"Lalit P. Sah","Abhijin Adiga",2
"Luke A. Colavito","Abhijin Adiga",2
"Madhav Marathe","Abhijin Adiga",2
"R. Asokan","Abhijin Adiga",2
"Rangaswamy Muniappan","Abhijin Adiga",2
"Sichao Wu","Abhijin Adiga",2
"Srinivasan Venkatramanan","Abhijin Adiga",2
"Stephen G. Eubank","Abhijin Adiga",2
"V. Sridhar","Abhijin Adiga",2
"Abhijnan Chakraborty","Fabrício Benevenuto",2
"Abhijnan Chakraborty","Johnnatan Messias",2
"Abhijnan Chakraborty","Krishna P. Gummadi",4
"Abhijnan Chakraborty","Niloy Ganguly",4
"Abhijnan Chakraborty","Saptarshi Ghosh 0001",4
"Abhilash Dighe","Christos Faloutsos",2
"Danai Koutra","Abhilash Dighe",2
"Abhilash Dighe","Jean Bolot",2
"Abhilash Dighe","Smriti Bhagat",2
"Abhilash Dighe","Stratis Ioannidis",2
"Abhilash Dighe","Udi Weinsberg",2
"Abhinav Maurya","Rahul Telang",2
"Abhirup Ghosh","Christopher Lucas 0001",2
"Abhirup Ghosh","Rik Sarkar",2
"Fangzhou Sun","Abhishek Dubey",2
"Abhishek Dubey","Jules White",2
"Abhishek Gupta","Shakti Sinha",2
"Viet Ha-Thuc","Abhishek Gupta",2
"Vijay Dialani","Abhishek Gupta",2
"Xianren Wu","Abhishek Gupta",2
"Yan Yan","Abhishek Gupta",2
"Abhishek Kumar Singh","Manish Gupta 0001",2
"Abhishek Kumar Singh","Vasudeva Varma",2
"Abhishek Kumar","Alex C. Snoeren",2
"Danny Yuxing Huang","Abhishek Kumar",2
"Doug Grundman","Abhishek Kumar",2
"Abhishek Kumar","Elie Bursztein",2
"Abhishek Kumar","Kirill Levchenko",2
"Kurt Thomas","Abhishek Kumar",2
"Abolfazl Asudeh","Gautam Das 0001",2
"Md Farhadur Rahman","Abolfazl Asudeh",2
"Abolfazl Asudeh","Nick Koudas",2
"Bowen Shi","Achla Marathe",2
"Achla Marathe","G. Norton",2
"Achla Marathe","K. S. Nitin",2
"Achla Marathe","Lalit P. Sah",2
"Achla Marathe","Luke A. Colavito",2
"Achla Marathe","Madhav Marathe",2
"Achla Marathe","R. Asokan",2
"Achla Marathe","Rangaswamy Muniappan",2
"Sichao Wu","Achla Marathe",2
"Srinivasan Venkatramanan","Achla Marathe",2
"Achla Marathe","Stephen G. Eubank",2
"Achla Marathe","V. Sridhar",2
"Adam Barker","Blesson Varghese",2
"Sheriffo Ceesay","Adam Barker",2
"Adam Bates 0001","Alin Dobra",2
"Adam Bates 0001","Bradley Reaves",2
"Adam Bates 0001","Kevin R. B. Butler",2
"Adam Bates 0001","Nabil Schear",2
"Adam Bates 0001","Patrick T. Cable II",2
"Adam Bates 0001","Thomas Moyer",2
"Adam Bates 0001","Wajih Ul Hassan",2
"Adam Dalton 0001","Bonnie J. Dorr",2
"Adam Dalton 0001","Kristy Hollingshead",2
"Adam Dalton 0001","Leon Liang",2
"Adam Fourney","Eric Horvitz",2
"Adam Fourney","Gireeja Ranade",2
"Adam Fourney","Markus Mobius",2
"Adam Fourney","Meredith Ringel Morris",2
"Adam Fourney","Miklós Z. Rácz",2
"Adam Fourney","Ryen W. White",2
"Brittni Ballard","Adam Gray",2
"Carl Apgar","Adam Gray",2
"David Baasch","Adam Gray",2
"Keona Holden","Adam Gray",2
"Adam Gray","Leigh Plummer",2
"Luis Beteta","Adam Gray",2
"Marisa Gilman","Adam Gray",2
"Adam Gray","Mayanka Jha",2
"Adam Gray","Namrata Walanj",2
"Richard Marciano","Adam Gray",2
"Riss Hardcastle","Adam Gray",2
"Sandra Laib","Adam Gray",2
"Tricia Glaser","Adam Gray",2
"Waleed Falak","Adam Gray",2
"William Underwood","Adam Gray",2
"Yun Huang","Adam Gray",2
"Adam Gray","Zeynep Diker",2
"Adam Jatowt","Antal van den Bosch",2
"Gaël Dias","Adam Jatowt",2
"Adam Jatowt","Katsumi Tanaka",2
"Adam Jatowt","Marten Düring",2
"Mohammed Hasanuzzaman","Adam Jatowt",2
"Adam Jatowt","Ricardo Campos 0001",2
"Yating Zhang","Adam Jatowt",2
"Charles L. A. Clarke","Adam Roegiest",2
"Gordon V. Cormack","Adam Roegiest",2
"Jimmy J. Lin","Adam Roegiest",2
"Longbo Huang","Adam Wierman",2
"Zhixuan Fang","Adam Wierman",2
"Adil Alim","Aparna Joshi",2
"Adil Alim","Catherine T. Lawson",2
"Adil Alim","Feng Chen 0001",2
"Adisak Sukul","Baskar Gopalakrishnan",2
"Adisak Sukul","David A. M. Peterson",2
"Adisak Sukul","Wallapak Tavanapong",2
"Adit Krishnan","Aravind Sankar",2
"Adit Krishnan","Jiawei Han 0001",2
"Adit Krishnan","Shi Zhi",2
"Aditya Krishna Menon","Young Lee",2
"Enis Ceyhun Alp","Adria Jewell",2
"Jonathan Koller","Adria Jewell",2
"Matthew Malloy","Adria Jewell",2
"Paul Barford","Adria Jewell",2
"Adrian Albert","Jasleen Kaur",2
"Adrian Albert","Marta C. González",2
"Lee Wilson","Adrienne Colborne",2
"Adrienne Colborne","Michael Smit",4
"Adwait Ratnaparkhi","Ben Shahshahani",2
"Ming Yang","Adwait Ratnaparkhi",2
"Parikshit Shah","Adwait Ratnaparkhi",2
"Adwait Ratnaparkhi","Rohit Chandra",2
"Sachidanand Alle","Adwait Ratnaparkhi",2
"Allard J. van Altena","Aeilko H. Zwinderman",2
"Perry D. Moerland","Aeilko H. Zwinderman",2
"Aeilko H. Zwinderman","Sílvia D. Olabarriaga",2
"Aekyeung Moon","Hang Liu",2
"Aekyeung Moon","Jaeyoung Kim",2
"Aekyeung Moon","Jialing Zhang",2
"Aekyeung Moon","Seung Woo Son 0001",2
"Aghiles Salah","Melissa Ailem",2
"Aghiles Salah","Mohamed Nadif",2
"Dominik Slezak","Agnieszka Chadzynska-Krasowska",2
"Agnieszka Chadzynska-Krasowska","Joel Holland",2
"Agnieszka Chadzynska-Krasowska","Marcin Perkowski",2
"Agnieszka Chadzynska-Krasowska","Piotr Synak",2
"Agnieszka Chadzynska-Krasowska","Rick Glick",2
"Agniva Banerjee","Karuna Pande Joshi",2
"Ee-Peng Lim","Agus Trisnajaya Kwee",2
"Meng-Fen Chiang","Agus Trisnajaya Kwee",2
"Wang-Chien Lee","Agus Trisnajaya Kwee",2
"Markus Helfert","Ahmad Khalilijafarabad",2
"Viviana Angely Bastidas Melo","Ahmad Khalilijafarabad",2
"Zohreh Pourzolfaghar","Ahmad Khalilijafarabad",2
"Ahmad M. Mustafa","Bhavani M. Thuraisingham",2
"Ahmad M. Mustafa","Frederico Araujo",2
"Ahmad M. Mustafa","Gbadebo Ayoade",2
"Ahmad M. Mustafa","Kevin W. Hamlen",2
"Ahmad M. Mustafa","Khaled Al-Naami",2
"Ahmad M. Mustafa","Latifur Khan",2
"Ahmad Pahlavan Tafti","AnHai Doan",2
"Ahmad Pahlavan Tafti","David Page",2
"Ahmad Pahlavan Tafti","Ehsun Behravesh",4
"Ahmad Pahlavan Tafti","Eric LaRose",2
"Guangchi Liu","Ahmad Pahlavan Tafti",2
"Ahmad Pahlavan Tafti","John Mayer",2
"Ahmad Pahlavan Tafti","Jonathan C. Badger",2
"Ahmad Pahlavan Tafti","Mehdi Assefi",4
"Ahmad Pahlavan Tafti","Peggy L. Peissig",2
"Ahmed Abdelhadi","Charles Clancy",2
"Haya Shajaiah","Ahmed Abdelhadi",2
"Ahmed El-Roby","Ashraf Aboulnaga",2
"Ahmed Hassan Awadallah","Ahmed El Kholy",2
"Emine Yilmaz","Ahmed El Kholy",2
"Imed Zitouni","Ahmed El Kholy",2
"Ahmed El Kholy","Madian Khabsa",2
"Milad Shokouhi","Ahmed El Kholy",2
"Rishabh Mehrotra","Ahmed El Kholy",2
"Ahmed Hassan Awadallah","Emine Yilmaz",2
"Ahmed Hassan Awadallah","Georg Buscher",2
"Ahmed Hassan Awadallah","Imed Zitouni",4
"Ahmed Hassan Awadallah","Madian Khabsa",4
"Ahmed Hassan Awadallah","Mark J. Encarnación",2
"Ahmed Hassan Awadallah","Michael Gamon",2
"Ahmed Hassan Awadallah","Milad Shokouhi",2
"Ahmed Hassan Awadallah","Patrick Pantel",2
"Rishabh Mehrotra","Ahmed Hassan Awadallah",2
"Widad Machmouchi","Ahmed Hassan Awadallah",2
"Yu Su 0001","Ahmed Hassan Awadallah",2
"Emmanuel Nii Martey","Ahmed Lasisi",2
"Ahmed Lasisi","Nii O. Attoh-Okine",2
"Akram Aldroubi","Ahmet Bugra Koku",2
"Ali Sekmen","Ahmet Bugra Koku",4
"Ahmet Bugra Koku","Ayad Abdul-Malek",2
"Ahmet Bugra Koku","Keaton Hamm",2
"Ahmet Bugra Koku","Mustafa Parlaktuna",2
"Ahmet Bugra Koku","Nagendrababu Vanamala",2
"Ahmet Küçük","Berkay Aydin",2
"Ahmet Küçük","Rafal A. Angryk",2
"Ross E. Curtis","Ahna Reza Girshick",2
"Ahsanul Haque","Bo Dong",4
"Ahsanul Haque","Kevin W. Hamlen",2
"Ahsanul Haque","Latifur Khan",4
"Ahsanul Haque","Mohammad M. Masud",2
"Ahsanul Haque","Swarup Chandra",2
"Yang Gao 0027","Ahsanul Haque",2
"Yifan Li","Ahsanul Haque",2
"Ahsanul Haque","Zhuoyi Wang",2
"Ai-Jou Chou","Chih-Wei Yi",2
"Chun-Jie Chen","Ai-Jou Chou",2
"Guanyao Li","Ai-Jou Chou",2
"Sheng-Yun Huang","Ai-Jou Chou",2
"Ai-Jou Chou","Wen-Chih Peng",2
"Ai-Jou Chou","Xiaochuan Gou",2
"Jun Li","Aidong Lu",2
"Shuhan Yuan","Aidong Lu",2
"Xintao Wu","Aidong Lu",2
"Chuishi Meng","Aidong Zhang",2
"Fenglong Ma","Aidong Zhang",2
"Guangxu Xun","Aidong Zhang",4
"Houping Xiao","Aidong Zhang",2
"Jing Gao 0004","Aidong Zhang",4
"Kishlay Jha","Aidong Zhang",2
"Lu Su","Aidong Zhang",2
"Qi Li 0012","Aidong Zhang",2
"Vishrawas Gopalakrishnan","Aidong Zhang",2
"Yaliang Li","Aidong Zhang",2
"Ailun Ye","Antoaneta Serguieva",2
"Ailun Ye","Edward P. K. Tsang",2
"Ailun Ye","Venkata L. Raju Chinthalapati",2
"Dongmei Hou","Aimin Pan",2
"Yuhong Li","Aimin Pan",2
"Aimin Pan","Zhiguo Gong",2
"Aixin Sun","Chenliang Li",2
"Aixin Sun","Jialong Han",4
"Minh C. Phan","Aixin Sun",2
"Aixin Sun","Sibo Wang 0001",2
"Xin Zheng","Aixin Sun",2
"Aixin Sun","Yi Tay",2
"Ajay Dholakia","Berni Schiefer",2
"Ajay Dholakia","Kshitij Doshi",2
"Ajay Dholakia","Matthew Sheard",2
"Ajay Dholakia","Prasad Venkatachar",2
"Ajay Dholakia","Ramnath Sai Sagar",2
"Ajay Dholakia","Ravikanth Durgavajhala",2
"Ajay Dholakia","Stewart Tate",2
"Ajaya Neupane","Leanne M. Hirshfield",2
"Ajaya Neupane","Nitesh Saxena",2
"Fan Yang 0076","Ajinkya Kale",2
"Ajinkya Kale","Leon Stein",2
"Ajinkya Kale","M. Hadi Kiapour",2
"Ajinkya Kale","Qiaosong Wang",2
"Ajinkya Kale","Robinson Piramuthu",2
"Ajinkya Kale","Yury Bubnov",2
"Saket Hegde","Akanksha Atrey",2
"Vivek Kumar Singh","Akanksha Atrey",2
"Saleena Khanna","Akash R. Nambiar",2
"Yuvraj S. Sethi","Akash R. Nambiar",2
"Aki-Hiro Sato","Hiroe Tsubaki",2
"Aki-Hiro Sato","Shoki Nishimura",2
"Akihiro Nakao","Masato Oguchi",4
"Akihiro Nakao","Saneyasu Yamaguchi",4
"Tsumugi Tairaku","Akihiro Nakao",4
"Akinori Abe","Yuki Hayashi",2
"Masanori Ajito","Akira Ishii",2
"Akira Ishii","Takayuki Mizuno",2
"Toshimichi Wakabayashi","Akira Ishii",2
"Yasuko Kawahata","Akira Ishii",6
"Shingo Ono","Akira Tajima",2
"Shumpei Okura","Akira Tajima",2
"Yukihiro Tagami","Akira Tajima",2
"Akira Tanaka","Katsuki Fujisawa",2
"Akira Tanaka","Nariaki Tateiwa",2
"Akira Tanaka","Nozomi Hata",2
"Akira Umayabara","Hayato Yamana",2
"Ali Sekmen","Akram Aldroubi",2
"Akram Aldroubi","Keaton Hamm",2
"Akshay Kansal","Francesca Spezzano",2
"Akshay Krishnamurthy","Andrew McCallum",2
"Ari Kobren","Akshay Krishnamurthy",2
"Nicholas Monath","Akshay Krishnamurthy",2
"Chiu Yuen Koo","Akshay Naresh Modi",2
"Chuan Yu Foo","Akshay Naresh Modi",2
"Clemens Mewald","Akshay Naresh Modi",2
"Denis Baylor","Akshay Naresh Modi",2
"Eric Breck","Akshay Naresh Modi",2
"Heng-Tze Cheng","Akshay Naresh Modi",2
"Akshay Naresh Modi","Jarek Wilkiewicz",2
"Levent Koc 0001","Akshay Naresh Modi",2
"Lukasz Lew","Akshay Naresh Modi",2
"Akshay Naresh Modi","Martin Wicke",2
"Akshay Naresh Modi","Martin Zinkevich",2
"Mustafa Ispir","Akshay Naresh Modi",2
"Akshay Naresh Modi","Neoklis Polyzotis",2
"Noah Fiedel","Akshay Naresh Modi",2
"Salem Haykal","Akshay Naresh Modi",2
"Akshay Naresh Modi","Steven Euijong Whang",2
"Akshay Naresh Modi","Sudip Roy 0002",2
"Akshay Naresh Modi","Sukriti Ramesh",2
"Vihan Jain","Akshay Naresh Modi",2
"Akshay Naresh Modi","Xin Zhang",2
"Zakaria Haque","Akshay Naresh Modi",2
"Parikshit Shah","Akshay Soni",2
"Akshay Soni","Troy Chevalier",2
"Maria Esteva","Alan C. Bovik",2
"Sandra Sweat","Alan C. Bovik",2
"Todd Richard Goodall","Alan C. Bovik",2
"Alan Cullen","Bill Williams",2
"Brian Rivera","Alan Cullen",2
"Dinesh C. Verma","Alan Cullen",2
"Elisa Bertino","Alan Cullen",2
"Emil C. Lupu","Alan Cullen",2
"Emil Lupu","Alan Cullen",2
"Erisa Karafili","Alan Cullen",2
"Gregory H. Cirincione","Alan Cullen",2
"Maroun Touma","Alan Cullen",2
"Saritha Arunkumar","Alan Cullen",4
"Seraphin B. Calo","Alan Cullen",6
"Alan Green","Alexandre Mah",2
"Alexandrin Popescul","Alan Green",2
"Alan Green","Cayden Meyer",2
"Alan Green","Divanshu Garg",2
"Julian Gibbons","Alan Green",2
"Marc Najork","Alan Green",2
"Alan Green","Michael Smith 0024",2
"Mike Colagrosso","Alan Green",2
"Alan Green","Reuben Kan",2
"Sandeep Tata","Alan Green",2
"Alan Leidner","Carsten Rönsdorf",2
"Alan Leidner","George Percivall",2
"Joshua Lieberman","Alan Leidner",2
"Alexander Konovalov 0003","Alan Ritter",2
"Benjamin Strauss","Alan Ritter",2
"Alan Ritter","Brendan O'Connor",2
"Mike Lakoju","Alan Serrano",2
"Alban Siffer","Alexandre Termier",2
"Alban Siffer","Christine Largouët",2
"Alban Siffer","Pierre-Alain Fouque",2
"Albert Bifet","Bernhard Pfahringer",2
"Albert Bifet","Cheng He",2
"Diego Marron","Albert Bifet",2
"Eduard Ayguadé","Albert Bifet",2
"Albert Bifet","Geoff Holmes 0001",2
"Jacob Montiel","Albert Bifet",2
"Jesse Read","Albert Bifet",2
"Albert Bifet","Jiajin Zhang",2
"Albert Bifet","Jianfeng Qian",2
"Albert Bifet","Jianfeng Zhang",2
"José R. Herrero","Albert Bifet",2
"Albert Bifet","Talel Abdessalem",2
"Albert Bifet","Wei Fan 0001",2
"Albert van der Linde","Annette Bieniusa",2
"Albert van der Linde","João Leitão 0001",2
"Albert van der Linde","Nuno M. Preguiça",2
"Albert van der Linde","Pedro Fouto",2
"Albert van der Linde","Santiago J. Castiñeira",2
"Alberto Falzone","Andrea Luciani",4
"Demetrio Condello","Alberto Falzone",4
"Giuseppe Bruno","Alberto Falzone",4
"Alberto Messina","Alessio Bosca",2
"Maurizio Montagnuolo","Alberto Messina",2
"Alberto Messina","Nicolo Bidotti",2
"Alberto Messina","Paolo Platter",2
"Andrew Tomkins","Alborz Geramifard",2
"Alborz Geramifard","Deepak Agarwal",2
"Larry P. Heck","Alborz Geramifard",2
"Muthu Muthukrishnan","Alborz Geramifard",2
"Kaine Black","Alec Parise",2
"Monica Wachowicz","Alec Parise",2
"Quinten McNamara","Alejandro de la Vega",2
"Alejandro de la Vega","Tal Yarkoni",2
"Alejandro Mottini","Rodrigo Acuna-Agost",2
"Aleksandar Bojchevski","Stephan Günnemann",2
"Aleksandar Bojchevski","Yves Matkovic",2
"Alessandra Russo","Dinesh C. Verma",2
"Elisa Bertino","Alessandra Russo",2
"Geeth de Mel","Alessandra Russo",2
"Alessandra Russo","Seraphin B. Calo",2
"Alessandro Bozzon","David M. J. Tax",2
"Jie Yang 0028","Alessandro Bozzon",2
"Jie Zhang 0002","Alessandro Bozzon",2
"Manjira Sinha","Alessandro Bozzon",2
"Alessandro Bozzon","Pradeep K. Murukannaiah",2
"Alessandro Bozzon","Sandya Mannarswamy",2
"Alessandro Bozzon","Tridib Mukherjee",2
"Wenjie Pei","Alessandro Bozzon",2
"Xiangnan He 0001","Alessandro Bozzon",2
"Zhu Sun","Alessandro Bozzon",2
"David Stück","Alessandro Epasto",2
"Greg Ver Steeg","Alessandro Epasto",2
"Haraldur Tómas Hallgrímsson","Alessandro Epasto",2
"Alessandro Epasto","Luca Foschini",2
"Alessandro Epasto","Morteza Zadimoghaddam",2
"Alessandro Epasto","Renato Paes Leme",2
"Alessandro Epasto","Sergei Vassilvitskii",2
"Alessandro Epasto","Silvio Lattanzi",4
"Clayton A. Davis","Alessandro Flammini",2
"Emilio Ferrara","Alessandro Flammini",2
"Filippo Menczer","Alessandro Flammini",2
"Onur Varol","Alessandro Flammini",2
"Alessandro Lulli","Davide Anguita",2
"Alessandro Lulli","Luca Oneto",2
"Massimo Nicosia","Alessandro Moschitti",2
"Daniela Paolotti","Alessandro Vespignani",2
"Daniela Perrotta","Alessandro Vespignani",2
"Michele Tizzoni","Alessandro Vespignani",2
"Nicola Perra","Alessandro Vespignani",2
"Qian Zhang 0016","Alessandro Vespignani",2
"Antonio Mazzei","Alessio Bosca",2
"Francesco Tarasconi","Alessio Bosca",2
"Maurizio Montagnuolo","Alessio Bosca",2
"Michela Farina","Alessio Bosca",2
"Nicolo Bidotti","Alessio Bosca",2
"Paolo Platter","Alessio Bosca",2
"Alessio Conte","Caterina Mordente",2
"Alessio Conte","Donatella Firmani",2
"Alessio Conte","Maurizio Patrignani",2
"Alessio Conte","Riccardo Torlone",2
"Alessio Signorini","David C. Kale",2
"Luca Foschini","Alessio Signorini",2
"Tom Quisel","Alessio Signorini",2
"Yinzhan Xu","Alex 'Sandy' Pentland",2
"Yoshihiko Suhara","Alex 'Sandy' Pentland",2
"Alex Beutel","Ed Huai-hsin Chi",2
"Alex Beutel","Hubert Pham",2
"Alex Beutel","John R. Anderson",2
"Alex Beutel","Zhiyuan Cheng 0002",2
"Alex Bogatu","Alvaro A. A. Fernandes",2
"Alex Bogatu","Cristina Civili",2
"Alex Bogatu","Edward Abel",2
"Alex Bogatu","John A. Keane",2
"Alex Bogatu","Leonid Libkin",2
"Martin Koehler","Alex Bogatu",2
"Alex Bogatu","Nikolaos Konstantinou 0001",2
"Alex Bogatu","Norman W. Paton",2
"Danny Yuxing Huang","Alex C. Snoeren",2
"Doug Grundman","Alex C. Snoeren",2
"Elie Bursztein","Alex C. Snoeren",2
"Kirill Levchenko","Alex C. Snoeren",2
"Kurt Thomas","Alex C. Snoeren",2
"Alex Chojnacki","Arya Farahi",2
"Alex Chojnacki","Chengyu Dai",2
"Alex Chojnacki","Daniel T. Zhang",2
"Alex Chojnacki","Eric M. Schwartz",2
"Alex Chojnacki","Guangsha Shi",2
"Alex Chojnacki","Jacob D. Abernethy",2
"Alex Chojnacki","Jared Webb",2
"Andrea Piscitello","Alex D. Leow",2
"Alex D. Leow","Ann B. Ragin",2
"Bokai Cao","Alex D. Leow",2
"Chenwei Zhang","Alex D. Leow",2
"Chun-Ta Lu","Alex D. Leow",2
"Guixiang Ma","Alex D. Leow",2
"John Zulueta","Alex D. Leow",2
"Kelly Ryan","Alex D. Leow",2
"Lei Zheng 0001","Alex D. Leow",2
"Lifang He 0001","Alex D. Leow",2
"Olu Ajilore","Alex D. Leow",2
"Philip S. Yu","Alex D. Leow",4
"Weixiang Shao","Alex D. Leow",2
"Alexandros Ntoulas","Alex Delis",4
"Panagiotis Liakos","Alex Delis",4
"Bethany G. Anderson","Alex Dolski",2
"Christopher J. Prom","Alex Dolski",2
"James A. Hutchinson","Alex Dolski",2
"Kevin Hamilton","Alex Dolski",2
"Mark Sammons","Alex Dolski",2
"Alex Kaplunovich","Yelena Yesha",2
"Alex Libov","Ariel Raviv",4
"David Carmel","Alex Libov",4
"Liane Lewin-Eytan","Alex Libov",4
"Alex Libov","Yoelle Maarek",4
"Alex Morales","ChengXiang Zhai",2
"Ismini Lourentzou","Alex Morales",2
"Dan Tasse","Alex Sciuto",2
"Alex Sciuto","Jason I. Hong",2
"Zichen Liu","Alex Sciuto",2
"Alina Lazar","Alex Sim",2
"C. Anna Spurlock","Alex Sim",2
"Jonathan Wang","Alex Sim",2
"Kesheng Wu","Alex Sim",4
"Ling Jin","Alex Sim",2
"Alex Sim","Seongwook Hwangbo",2
"Alex Watson","Deepigha Shree Vittal Babu",2
"Alex Watson","Suprio Ray",2
"Alexander Acker","Anton Gulenko",2
"Alexander Acker","Florian Schmidt 0006",2
"Alexander Acker","Odej Kao",2
"Alexander Acker","Reinhard Kietzmann",2
"Alexander Brodsky 0001","Daniel A. Menascé",2
"Alexander Brodsky 0001","M. Omar Nachawati",2
"Alexander Brodsky 0001","Mohan Krishnamoorthy",2
"Alexander Brodsky 0001","William Z. Bernstein",2
"Alexander Burnap","Jeffrey Hartley",2
"Alexander Burnap","Panos Y. Papalambros",2
"Alexander Burnap","Richard Gonzalez",2
"Yanxin Pan","Alexander Burnap",2
"Alexander Denzler","Michael Kaufmann 0004",2
"Alexander G. Ororbia II","C. Lee Giles",2
"Kaixuan Zhang","Alexander G. Ororbia II",2
"Qinglong Wang","Alexander G. Ororbia II",2
"Wenbo Guo 0002","Alexander G. Ororbia II",2
"Alexander G. Ororbia II","Xinyu Xing",2
"Alexander G. Ororbia II","Xue Liu 0001",2
"Alexander Heifetz","Lalana Kagal",2
"Alexander Heifetz","Vaikkunth Mugunthan",2
"Alexander Herzog","Amy W. Apon",2
"Alexander Herzog","André Luckow",2
"Alexander Herzog","Christopher Gropp",2
"Alexander Herzog","Ilya Safro",2
"Alexander Herzog","Jason Thatcher",2
"Neela Avudaiappan","Alexander Herzog",2
"Alexander Herzog","Ramu Nerella",2
"Alexander Herzog","Sneha Kadam",2
"Alexander Herzog","Yuheng Du",4
"Alexander Keller 0003","Fei Chiang",2
"Alexander Keller 0003","Jaroslaw Szlichta",2
"Alexander Keller 0003","Lukasz Golab",2
"Sridevi Baskaran","Alexander Keller 0003",2
"Alexander Konovalov 0003","Benjamin Strauss",2
"Alexander Konovalov 0003","Brendan O'Connor",2
"Jiaxing Tan","Alexander Kotov",2
"Alexander Kotov","Rojiar Pir Mohammadiani",2
"Alexander Kotov","Yumei Huo",2
"Avihai Mejer","Alexander Nus",2
"Alexander Nus","Fiana Raiber",2
"Ido Guy","Alexander Nus",2
"Alexander Stiemer","Heiko Schuldt",4
"Ilir Fetai","Alexander Stiemer",2
"Marco Vogt 0001","Alexander Stiemer",2
"Bing Liu 0001","Alexander Tuzhilin",2
"Konstantin Bauman","Alexander Tuzhilin",2
"Alexander Ulanov","Carlos Zubieta",2
