"from","to","weight"
"Abhinav Khattar","Ponnurangam Kumaraguru",2
"Srishti Gupta","Abhinav Khattar",2
"Abhinav Khattar","Tanmoy Chakraborty 0002",2
"Charles Siegel","Abhinav Vishnu",2
"Garrett B. Goh","Abhinav Vishnu",2
"Abhinav Vishnu","Nathan Oken Hodas",2
"Abhinav Wagle","Don Matheson",2
"Abhinav Wagle","Junwei Pan",2
"Miao Chen","Abhinav Wagle",2
"Abhinav Wagle","Michael Natkovich",2
"Yizhi Mao","Abhinav Wagle",2
"Abhishek Tiwari","Erman Pattuk",2
"Issac Buenrostro","Abhishek Tiwari",2
"Abhishek Tiwari","Vasanth Rajamani",2
"Abhishek Tiwari","Zhixiong Chen",2
"Abid Jamil","Kashif Asif",2
"Abid Jamil","Muhammad Kashif Nazir",2
"Abid Jamil","Rehan Ashraf",2
"Abid Jamil","Syed Mudassar Alam",2
"Abid Jamil","Zikra Ghulam",2
"Avirup Saha","Abir De",2
"Bidisha Samanta","Abir De",2
"Niloy Ganguly","Abir De",4
"Abir De","Sourangshu Bhattacharya",2
"Abishek Puri","Huamin Qu",2
"Abishek Puri","Linping Yuan",2
"Yuanzhe Chen","Abishek Puri",2
"Abner Mendoza","Guofei Gu",2
"Abner Mendoza","Phakpoom Chinprutthiwong",2
"Abon Chaudhuri","Aditya Subramanian",2
"Abon Chaudhuri","Alessandro Magnani",2
"Abon Chaudhuri","Paolo Messina",2
"Abon Chaudhuri","Samrat Kokkula",2
"Abon Chaudhuri","Shreyansh Gandhi",2
"Abon Chaudhuri","Venkatesh Kandaswamy",2
"Abraham Bernstein","Dmitry Moor",2
"Abraham Bernstein","Sven Seuken",2
"Tobias Grubenmann","Abraham Bernstein",2
"Abram N. Magner","Ananth Y. Grama",2
"Abram N. Magner","Jithin K. Sreedharan",2
"Abram N. Magner","Wojciech Szpankowski",2
"Md Faisal Kabir","Abu Saleh Abdullah",2
"Simone A. Ludwig","Abu Saleh Abdullah",2
"Bjoern Lindequist","Achim Streit",2
"Frank Tristram","Achim Streit",2
"Hermann Heßling","Achim Streit",2
"Jörg Meyer 0001","Achim Streit",2
"Marco Strutz","Achim Streit",2
"Peter Braesicke","Achim Streit",2
"Tobias Kerzenmacher","Achim Streit",2
"Ugur Çayoglu","Achim Streit",2
"Adam Maciaszek","Adam Biniakowski",2
"Adam Biniakowski","Dawid Niemiec",2
"Adam Biniakowski","Jakub Ptaszynski",2
"Adam Biniakowski","Jan Orwat",2
"Adam Biniakowski","Krzysztof Joachimiak",2
"Adam Biniakowski","Krzysztof Szarzynski",2
"Adam Biniakowski","Mateusz Piecuch",2
"Adam Biniakowski","Riccardo Belluzzo",2
"Adam Biniakowski","Szymon Drgas",2
"Tomasz Grzywalski","Adam Biniakowski",2
"Adam D. Cobb","Andrew Markham",2
"Adam D. Cobb","Richard Everett 0001",2
"Adam D. Cobb","Stephen J. Roberts",2
"Adam G. M. Pazdor","Alfredo Cuzzocrea",2
"Adam G. M. Pazdor","Bryan H. Wodi",2
"Calvin S. H. Hoi","Adam G. M. Pazdor",2
"Carson K. Leung","Adam G. M. Pazdor",2
"Adam James Hall","Naghmeh Moradpoor",2
"Adam James Hall","Nikolaos Pitropakis",2
"Adam James Hall","William J. Buchanan",2
"Adam Jatowt","Antoine Doucet",2
"Adam Jatowt","Nina Tahmasebi",2
"Adam Jatowt","Ricardo Campos 0001",2
"Adam Jatowt","Sourav S. Bhowmick",2
"Adam Maciaszek","Dawid Niemiec",2
"Adam Maciaszek","Jakub Ptaszynski",2
"Adam Maciaszek","Jan Orwat",2
"Adam Maciaszek","Krzysztof Joachimiak",2
"Adam Maciaszek","Krzysztof Szarzynski",2
"Adam Maciaszek","Mateusz Piecuch",2
"Adam Maciaszek","Riccardo Belluzzo",2
"Adam Maciaszek","Szymon Drgas",2
"Tomasz Grzywalski","Adam Maciaszek",2
"Zachary Nichols","Adam Stein",2
"Adam Tsakalidis","Alexandra I. Cristea",2
"Adam Tsakalidis","Maria Liakata",2
"Adam Tsakalidis","Nikolaos Aletras",2
"Fang (Cherry) Liu","Adele Yunlan Sun",2
"Adele Yunlan Sun","Weijia Xu",2
"Yuanjie Sun","Adele Yunlan Sun",2
"Adish Singla","Adrian Weller",2
"Hoda Heidari","Adish Singla",2
"Krishna P. Gummadi","Adish Singla",2
"Adish Singla","Muhammad Bilal Zafar",2
"Nina Grgic-Hlaca","Adish Singla",2
"Till Speicher","Adish Singla",2
"Adit Krishnan","Aravind Sankar",2
"Adit Krishnan","Ashish Sharma",4
"Adit Krishnan","Hari Sundaram",4
"Elke A. Rundensteiner","Aditya Arora",2
"Aditya Arora","Jihane Zouaoui",2
"Xiangnan Kong","Aditya Arora",2
"Zhongfang Zhuang","Aditya Arora",2
"Shreya Rajpal","Aditya G. Parameswaran",2
"Aditya Pal","Deepayan Chakrabarti",2
"Ghodrat Aalipour","Aditya Sood",2
"Pranav Kumar","Aditya Sood",2
"Santosh Aditham","Aditya Sood",2
"Trung Nguyen","Aditya Sood",2
"Aditya Subramanian","Alessandro Magnani",2
"Paolo Messina","Aditya Subramanian",2
"Samrat Kokkula","Aditya Subramanian",2
"Aditya Subramanian","Shreyansh Gandhi",2
"Aditya Subramanian","Venkatesh Kandaswamy",2
"Adolfo De Unánue","Andrea Navarrete Rivera",2
"Adolfo De Unánue","Crystal Cody",2
"Adolfo De Unánue","Hareem Naveed",2
"Adolfo De Unánue","Jason Bennett",2
"Joe Walsh","Adolfo De Unánue",2
"Klaus Ackermann","Adolfo De Unánue",2
"Adolfo De Unánue","Lauren Haynes",2
"Adolfo De Unánue","Michael Defoe",2
"Adolfo De Unánue","Rayid Ghani",2
"Adolfo De Unánue","Sun-Joo Lee",2
"Adria Finch","Andrew Maxwell",2
"Avishek Kumar","Adria Finch",2
"Benjamin Brooks","Adria Finch",2
"Chad Kenney","Adria Finch",2
"Adria Finch","Joe Zuckerbraun",2
"Kevin H. Wilson","Adria Finch",2
"R. Ali Vanderveld","Adria Finch",2
"Adria Finch","Rayid Ghani",2
"Sam Edelstein","Adria Finch",2
"Syed Ali Asad Rizvi","Adria Finch",2
"Kornilios Kourtis","Adrian Schüpbach",2
"Adrian Schüpbach","Martina Zitterbart",2
"Michael Kaufmann 0005","Adrian Schüpbach",2
"Elissa M. Redmiles","Adrian Weller",2
"Hoda Heidari","Adrian Weller",2
"Krishna P. Gummadi","Adrian Weller",4
"Adrian Weller","Muhammad Bilal Zafar",2
"Nina Grgic-Hlaca","Adrian Weller",4
"Till Speicher","Adrian Weller",2
"Aris Anagnostopoulos","Adriano Fazzone",2
"Carlos Castillo 0001","Adriano Fazzone",2
"Adriano Fazzone","Evimaria Terzi",2
"Adriano Fazzone","Stefano Leonardi",2
"Adriano Paterlini","Alexander Csoka Roque",2
"João Eduardo Ferreira","Adriano Paterlini",2
"Jose Antonio Visintin","Adriano Paterlini",2
"Jun Okamoto","Adriano Paterlini",2
"Mauro César Bernardes","Adriano Paterlini",2
"Adriano Paterlini","Moises Ramalho Miguel",2
"Alberto H. F. Laender","Adriano Veloso",2
"Adriano Veloso","Nivio Ziviani",2
"Tiago Alves 0002","Adriano Veloso",2
"Adwait Ratnaparkhi","Aldi Tjahjadi",2
"Andy Feng","Adwait Ratnaparkhi",2
"Erik Ordentlich","Adwait Ratnaparkhi",2
"Adwait Ratnaparkhi","Reena Somvanshi",2
"Xiao Bai 0002","Adwait Ratnaparkhi",2
"Yuanyuan Zhang","Adwait Ratnaparkhi",2
"Ana Fernández del Río","Africa Perianez",2
"Anna Guitart","Africa Perianez",2
"Pei Pei Chen","Africa Perianez",2
"Agma J. M. Traina","Caetano Traina Jr.",2
"Daniel de Oliveira 0001","Agma J. M. Traina",2
"Gustavo Blanco","Agma J. M. Traina",2
"Agma J. M. Traina","Klemens Böhm",2
"Lucio F. D. Santos","Agma J. M. Traina",2
"Agma J. M. Traina","Marcos V. N. Bedo",2
"Mirela T. Cazzolato","Agma J. M. Traina",2
"Agus Trisnajaya Kwee","Ee-Peng Lim",2
"Agus Trisnajaya Kwee","Meng-Fen Chiang",2
"Agus Trisnajaya Kwee","Philips Kokoh Prasetyo",2
"Ahmad O. Aseeri","Bipana Thapaliya",2
"Ahmad O. Aseeri","Mohammed Saeed Alkatheiri",4
"Ahmad O. Aseeri","Yu Zhuang",4
"Akshay Kumar","Ahmed Abdelhadi",2
"Ahmed Abdelhadi","Charles Clancy",2
"Engin Arslan","Ahmed Alhussen",2
"Ahmed El Kholy","Imed Zitouni",4
"Kyle Williams","Ahmed El Kholy",4
"Ahmed El Kholy","Paul A. Crook",4
"Seyyed Hadi Hashemi","Ahmed El Kholy",4
"Ahmed K. Elmagarmid","Mourad Ouzzani",2
"Ahmed K. Elmagarmid","Nan Tang 0001",2
"Ahmed K. Elmagarmid","Raul Castro Fernandez",2
"Ahmed K. Farahat","Chetan Gupta 0001",2
"Ahmed K. Farahat","Chi Zhang",2
"Karan Aggarwal","Ahmed K. Farahat",2
"Ahmed K. Farahat","Kosta Ristovski",2
"Onur Atan","Ahmed K. Farahat",2
"Maryem Ait El Hadj","Ahmed Khoumsi",2
"Mohammed Erradi","Ahmed Khoumsi",2
"Ahmed Khoumsi","Yahya Benkaouz",2
"Ahmed Lasisi","Dominique Guillot",2
"Ahmed Lasisi","Emmanuel Nii Martey",2
"Ahmed Lasisi","Nii O. Attoh-Okine",2
"Ahmed Navivala","Ebrahim Bagheri",2
"Fattane Zarrinkalam","Ahmed Navivala",2
"Hossein Fani","Ahmed Navivala",2
"Negar Arabzadeh","Ahmed Navivala",2
"Ahmer Arif","Daniel Scarnecchia",2
