"from","to","weight"
"Ömer Gözüaçik","Alican Büyükçakir",2
"Ömer Gözüaçik","Fazli Can",2
"Ömer Gözüaçik","Hamed R. Bonab",2
"Ali Safari Khatouni","Özgü Alay",2
"Andra Lutu","Özgü Alay",2
"Anna Brunström","Özgü Alay",2
"Mah-Rukh Fida","Özgü Alay",2
"Marco Mellia","Özgü Alay",2
"Mohammad Rajiullah","Özgü Alay",2
"Özgü Alay","Stefan Alfredsson",2
"Özgü Alay","Vincenzo Mancuso",2
"A. B. M. Moniruzzaman","Balasubramaniam Thirunavukarasu",2
"A. B. M. Moniruzzaman","Maolin Tang",2
"A. B. M. Moniruzzaman","Richi Nayak",2
"A. B. Siddique","Ahmed Eldawy",2
"A. B. Siddique","Vagelis Hristidis",2
"Alan B. Cannaday II","A. J. Maltenfort",2
"Curt H. Davis","A. J. Maltenfort",2
"Grant J. Scott","A. J. Maltenfort",2
"James Alex Hurt","A. J. Maltenfort",2
"Raymond L. Chastain","A. J. Maltenfort",2
"Ozgun Pinarer","A. Teoman Naskali",2
"Sultan Turhan","A. Teoman Naskali",2
"Yunus Emre Karazag","A. Teoman Naskali",2
"Arvind Satyanarayan","Çagatay Demiralp",2
"Çagatay Demiralp","César A. Hidalgo",2
"Emanuel Zgraggen","Çagatay Demiralp",2
"Kevin Zeng Hu","Çagatay Demiralp",2
"Madelon Hulsebos","Çagatay Demiralp",2
"Michiel A. Bakker","Çagatay Demiralp",2
"Tim Kraska","Çagatay Demiralp",2
"Çigdem Aslay","Aristides Gionis",2
"Florian Adriaens","Çigdem Aslay",2
"Çigdem Aslay","Jefrey Lijffijt",2
"Çigdem Aslay","Tijl De Bie",2
"Élisa Fromont","Alexandre Termier",2
"Kevin Fauvel","Élisa Fromont",2
"Élisa Fromont","Philippe Faverdin",2
"Véronique Masson","Élisa Fromont",2
"Antonio Pastor","Ángel Cuevas",2
"Ángel Cuevas","Arturo Azcorra",2
"Matti Antero Parssinen","Ángel Cuevas",2
"Ángel Cuevas","Mikko Kotila",2
"Patricia Callejo","Ángel Cuevas",2
"Pelayo Vallina","Ángel Cuevas",2
"Rubén Cuevas","Ángel Cuevas",2
"Aécio S. R. Santos","Juliana Freire",2
"Kien Pham","Aécio S. R. Santos",2
"Shilpa Balan","Aakanksha Tasgaonkar",2
"Tanvi Gawade","Aakanksha Tasgaonkar",2
"Aakash Sabharwal","Adam Henderson",2
"Aakash Sabharwal","Diane Hu",2
"Hao Jiang","Aakash Sabharwal",2
"Aakash Sabharwal","Liangjie Hong",2
"Aakash Srinivasan","Akil Arif Ibrahim",2
"Aakash Srinivasan","Prithviraj Chavan",2
"Shiv Kumar Saini","Aakash Srinivasan",2
"Sunny Dhamnani","Aakash Srinivasan",2
"Ian Anderson 0003","Aaron Clauset",2
"Samuel F. Way","Aaron Clauset",2
"Santiago Gil","Aaron Clauset",2
"Aaron Coburn","Adam Soroka",2
"Gregory Jansen","Aaron Coburn",2
"Aaron Coburn","Richard Marciano",2
"Aaron Feng","Alon Y. Halevy",2
"Aaron Feng","Ekaterina Pavlovic",2
"Aaron Feng","George A. Mihaila",2
"Aaron Feng","Huining Liu",2
