"from","to","weight"
"Aaron Feng","Jinfeng Li",2
"Aaron Feng","John Morales",2
"Aaron Feng","Natalie Nuno",2
"Sara Evensen","Aaron Feng",2
"Aaron Feng","Vivian Li",2
"Aaron Feng","Wang-Chiew Tan",2
"Aaron Feng","Xiaolan Wang 0001",2
"Aaron Feng","Yuliang Li 0001",2
"Alfonso Lobos Ruiz","Aaron Flores",2
"Junwei Pan","Aaron Flores",2
"Yizhi Mao","Aaron Flores",2
"Yu Sun","Aaron Flores",2
"Aaron Harwood","Amila Silva",2
"Christopher Leckie","Aaron Harwood",2
"Jeffrey Chan","Aaron Harwood",2
"Aaron Harwood","Kwan Hui Lim 0001",4
"Aaron Harwood","Lucia Falzon",2
"Aaron Harwood","Michelle Vanni",2
"Aaron Harwood","Prarthana Padia",4
"Aaron Harwood","Shanika Karunasekera",6
"Yasmeen M. George","Aaron Harwood",2
"Yi Han 0003","Aaron Harwood",2
"André T. Nguyen","Aaron Sant-Miller",2
"Edward Raff","Aaron Sant-Miller",2
"Ali Jahanshahi","Abbas Mazloumi",2
"Abbas Mazloumi","Hadi Zamani Sabzi",2
"Mohsen Karimi","Abbas Mazloumi",2
"Abbas Mazloumi","Rajiv Gupta 0001",4
"Abbas Mazloumi","Xiaolin Jiang",2
"Abdalghani Abujabal","Gerhard Weikum",2
"Abdalghani Abujabal","Jyotsna Singh",2
"Philipp Christmann","Abdalghani Abujabal",2
"Rishiraj Saha Roy","Abdalghani Abujabal",2
"Abdelouahab Khelifati","Mourad Khayati",2
"Abdelouahab Khelifati","Philippe Cudré-Mauroux",2
"Reham M. Alamro","Abdou S. Youssef",4
"Christine Hines","Abdou Youssef",2
"Jonathan T. Apple","Abdul Rawoof Pinjari",2
"Sashikanth Gurram","Abdul Rawoof Pinjari",2
"Vijayaraghavan Sivaraman","Abdul Rawoof Pinjari",2
"Abdulah Fawaz","Paul Klein",2
"Abdulah Fawaz","Peter Mountney",2
"Abdulah Fawaz","Sebastien Piat",2
"Abdulah Fawaz","Simone Severini",2
"Emad A. Felemban","Abdulaziz Fatani",2
"Abdulaziz Fatani","Faizan Ur Rehman",2
"Abdullah-Al Mamun 0002","Nalini Ravishanker",2
"Abdullah-Al Mamun 0002","Sanguthevar Rajasekaran",2
"Abdullah-Al Mamun 0002","Xingyu Cai",2
"Zigeng Wang","Abdullah-Al Mamun 0002",2
"Ashish Mahabal","Abdullah al-Raihan Nayeem",2
"Isaac Cho","Abdullah al-Raihan Nayeem",2
"Abdullah al-Raihan Nayeem","Junsong Yuan",2
"Mohammed Elshambakey","Abdullah al-Raihan Nayeem",2
"Abdullah al-Raihan Nayeem","S. George Djorgovski",2
"Sreyasee Das Bhattacharjee","Abdullah al-Raihan Nayeem",2
"William J. Tolone","Abdullah al-Raihan Nayeem",2
"Abdullah Mueen","Amanda J. Minnich",2
"Farhan Asif Chowdhury","Abdullah Mueen",2
"M. Ashraf Siddiquee","Abdullah Mueen",2
"Abdullah Mueen","Nikan Chavoshi",2
"Noor Abu-El-Rub","Abdullah Mueen",2
"Satomi Suzuki","Abdullah Mueen",2
"Zeinab Akhavan","Abdullah Mueen",2
"Asia J. Biega","Abhijnan Chakraborty",4
"Abhijnan Chakraborty","Hoda Heidari",2
"Krishna P. Gummadi","Abhijnan Chakraborty",4
"Meike Zehlike","Abhijnan Chakraborty",2
"Abhijnan Chakraborty","Nuno Mota",2
"Tom Sühr","Abhijnan Chakraborty",2
"Abhilash Reddy Chenreddy","Parshan Pakiman",2
"Abhilash Reddy Chenreddy","Ranganathan Chandrasekaran",2
"Abhilash Reddy Chenreddy","Rick Abens",2
"Abhilash Reddy Chenreddy","Selvaprabu Nadarajah",2
"Amey Agrawal","Abhishek Dixit",2
"Abhishek Dixit","Darshil Kapadia",2
"Abhishek Dixit","Namrata A. Shettar",2
"Abhishek Dixit","Rajat Gupta",2
"Abhishek Dixit","Rohit Karlupia",2
"Abhishek Dixit","Vikram Agrawal",2
"Abhishek Dubey","Bruno Leão",2
"Sanchita Basak","Abhishek Dubey",2
"Abhishek Goswami","Artidoro Pagnoni",2
"Abhishek Goswami","Gal Oshri",2
"Abhishek Goswami","Gani Nazirov",2
"Abhishek Goswami","Gleb Krivosheev",2
"Abhishek Goswami","Ivan Matantsev",2
"Abhishek Goswami","Jignesh Parmar",2
"Abhishek Goswami","Justin Ormont",2
"Abhishek Goswami","Markus Weimer",2
"Abhishek Goswami","Matteo Interlandi",2
"Mikhail Bilenko","Abhishek Goswami",2
"Abhishek Goswami","Mohammad Zeeshan Siddiqui",2
"Abhishek Goswami","Monte Hoover",2
"Abhishek Goswami","Najeeb Kazmi",2
"Abhishek Goswami","Pete Luferenko",2
"Abhishek Goswami","Prabhat Roy",2
"Rogan Carr","Abhishek Goswami",2
"Saeed Amizadeh","Abhishek Goswami",2
"Abhishek Goswami","Scott Inglis",2
"Senja Filipi","Abhishek Goswami",2
"Abhishek Goswami","Sergiy Matusevych",2
"Abhishek Goswami","Shahab Moradi",2
"Abhishek Goswami","Shauheen Zahirazami",2
"Tom Finley","Abhishek Goswami",2
"Vadim Eksarevskiy","Abhishek Goswami",2
"Wei-Sheng Chin","Abhishek Goswami",2
"Xavier Dupré","Abhishek Goswami",2
"Yael Dekel","Abhishek Goswami",2
"Abhishek Goswami","Yiwen Zhu",2
"Zeeshan Ahmed","Abhishek Goswami",2
"Abhishek Gupta 0001","Allan NengSheng Zhang",2
"Abhishek Gupta 0001","Allan Zhang NengSheng",2
"Abhishek Gupta 0001","Mojtaba Shakeri",4
"Abhishek Gupta 0001","Xu Chi",4
"Abhishek Gupta 0001","Yew-Soon Ong",4
"Qinghan Xue","Abhishek Kolagunda",2
"Abhishek Kolagunda","Steven Eliuk",2
"Abhishek Kolagunda","Xiaolong Wang 0006",2
"Abhishek Pratap Singh","Amitabha Bagchi",2
"Chak Fai Yuen","Abhishek Pratap Singh",2
"Abhishek Pratap Singh","Sagar Goyal",2
"Abhishek Pratap Singh","Sayan Ranu",2
"Abhishek Pratap","Brian M. Bot",2
"Elias Chaibub Neto","Abhishek Pratap",2
"Abhishek Pratap","Lara Mangravite",2
"Abhishek Pratap","Larsson Omberg",2
"Abhishek Pratap","Meghasyam Tummalacherla",2
"Abhishek Pratap","Thanneer M. Perumal",2
"Abolfazl Asudeh","Bill Howe",2
"Chenkai Sun","Abolfazl Asudeh",2
"Abolfazl Asudeh","H. V. Jagadish",2
"Abolfazl Asudeh","Julia Stoyanovich",2
"Bibek Paudel","Abraham Bernstein",2
"Daniele Dell'Aglio","Abraham Bernstein",2
"Hai Zhu","Abraham Bernstein",2
"Abraham Bernstein","Huajun Chen",2
"Jiaoyan Chen","Abraham Bernstein",2
"Liang Wang","Abraham Bernstein",2
"Tobias Grubenmann","Abraham Bernstein",2
"Wei Zhang 0127","Abraham Bernstein",2
"Wen Zhang 0015","Abraham Bernstein",2
"Abrar Rahman","Anusheh Abdullah",2
"Abrar Rahman","Ari Mitra",2
"Abrar Rahman","Fuad Rahman",2
"Abrar Rahman","Hailey Swanson",2
"Abrar Rahman","Marvin J. Slepian",4
"Abrar Rahman","Rebecca Slepian",2
"Abrar Rahman","Yonathan Weiner",2
"Chenguang Fang","Acan Gui",2
"Shaoxu Song","Acan Gui",2
"Zhiwei Chen","Acan Gui",2
"Ace Dimitrievski","Cas Apanowicz",2
"Eftim Zdravevski","Ace Dimitrievski",2
"Ace Dimitrievski","Marek Grzegorowski",2
"Petre Lameski","Ace Dimitrievski",2
"Achal Agarwal","Kirti Singh Rathore",2
"Navneet Goyal","Achal Agarwal",2
"Achal Agarwal","Nischay Singh",2
"Poonam Goyal","Achal Agarwal",2
"Saiyedul Islam","Achal Agarwal",2
"Sundar Balasubramaniam","Achal Agarwal",2
"Achilleas Psyllidis","Alessandro Bozzon",2
"Achilleas Psyllidis","Geert-Jan Houben",2
"Sihang Qiu","Achilleas Psyllidis",2
"Achir Kalra","Chong Wang",4
"Achir Kalra","Cristian Borcea",4
"Shuai Zhao","Achir Kalra",2
"Achir Kalra","Yi Chen 0001",4
"Ke Wang 0001","Ada Wai-Chee Fu",2
"Ada Wai-Chee Fu","Raymond Chi-Wing Wong",2
"Weipeng Lin","Ada Wai-Chee Fu",2
"Zhilin Zhang","Ada Wai-Chee Fu",2
"Aseel Addawood","Adam Badawy",2
"Adam Badawy","Emilio Ferrara",2
"Adam Badawy","Kristina Lerman",2
"Alexandra Vtyurina","Adam Fourney",2
"Adam Fourney","Ece Kamar",2
"Adam Fourney","Leah Findlater",2
"Adam Fourney","Meredith Ringel Morris",2
"Adam Fourney","Ryen W. White",2
"Yongsung Kim","Adam Fourney",2
"Adam Henderson","Diane Hu",2
"Hao Jiang","Adam Henderson",2
"Adam Henderson","Liangjie Hong",2
"Adam J. Storm","C. Mohan 0001",2
"Adam J. Storm","Christian Garcia-Arellano",2
"Adam J. Storm","Guy M. Lohman",2
"Adam J. Storm","Hamid Pirahesh",2
"Adam J. Storm","Pinar Tözün",2
"Adam J. Storm","René Müller 0001",2
"Adam J. Storm","Richard Sidle",2
"Ronald Barber","Adam J. Storm",2
"Adam J. Storm","Ronen Grosman",2
"Adam J. Storm","Vijayshankar Raman",2
"Adam J. Storm","Yingjun Wu",2
"Adam J. Storm","Yuanyuan Tian",2
"Adam Jatowt","Antoine Doucet",2
"Adam Jatowt","Ricardo Campos 0001",2
"Adam Jatowt","Sourav S. Bhowmick",2
"Gregory Jansen","Adam Soroka",2
"Adam Soroka","Richard Marciano",2
"Addi Ait-Mlouk","Erik Elmroth",2
"Addi Ait-Mlouk","Lili Jiang",2
"Xuan-Son Vu","Addi Ait-Mlouk",2
"Adil Alim","Feng Chen 0001",2
"Adil Alim","Jin-Hee Cho",2
"Adil Alim","Xujiang Zhao",2
"Adit Krishnan","Hari Cheruvu",2
"Adit Krishnan","Hari Sundaram",2
"Adit Krishnan","Tao Cheng 0001",2
"Aditi Malladi","Andréa M. Matsunaga",2
"Icaro Alzuru","Aditi Malladi",2
"Aditi Malladi","José A. B. Fortes",2
"Aditi Malladi","Maurício O. Tsugawa",2
"Elke A. Rundensteiner","Aditya Arora",2
"Jihane Zouaoui","Aditya Arora",2
"Xiangnan Kong","Aditya Arora",2
"Zhongfang Zhuang","Aditya Arora",2
"Amol Deshpande","Aditya G. Parameswaran",2
"Theodoros Rekatsinas","Aditya G. Parameswaran",2
"Aditya Pal","Chuck Rosenberg",2
"Jiaxuan You","Aditya Pal",2
"Aditya Pal","Jure Leskovec",2
"Aditya Pal","Pong Eksombatchai",2
"Yichen Wang 0001","Aditya Pal",2
"Adrian Stetco","Anees Mohammed",2
"Adrian Stetco","Goran Nenadic",2
"Adrian Stetco","John A. Keane",2
"Adrian Stetco","Sinisa Djurovic",2
"Adrien Guille","Julien Velcin",2
"Robin Brochier","Adrien Guille",2
"Aekyeung Moon","Jialing Zhang",2
"Aekyeung Moon","Seung Woo Son 0001",2
"Aekyeung Moon","Xiaoyan Zhuo",2
"Afonso Mendes","Andreas Vlachos 0001",2
"Afonso Mendes","Andrew Secker",2
"David Nogueira","Afonso Mendes",2
"Afonso Mendes","Jeff Mitchell",2
"Afonso Mendes","Rebecca Garrett",2
"Sebastião Miranda","Afonso Mendes",2
"Afonso Mendes","Zita Marinho",2
"Andreas Francois Vermeulen","Agastya Silvina",2
"Agastya Silvina","Andreas Pitsillides",2
"Axel Legay","Agastya Silvina",2
"Agastya Silvina","Christos Fidas",2
"E. Blackledge","Agastya Silvina",2
"George Stylianou","Agastya Silvina",2
"Juliana Küster Filipe Bowles","Agastya Silvina",2
"Agastya Silvina","M. Kumar",2
"Agastya Silvina","Marios Belk",2
"Agastya Silvina","Michael Rossbory",2
"Michael Vinov","Agastya Silvina",2
"R. Arredouani","Agastya Silvina",2
"Thomas Given-Wilson","Agastya Silvina",2
"Vladimir Janjic","Agastya Silvina",2
"W. Huang","Agastya Silvina",2
"Andrzej Janusz","Agnieszka Chadzynska-Krasowska",2
"Agnieszka Chadzynska-Krasowska","Bartek Konarski",2
"Daniel Kaluza","Agnieszka Chadzynska-Krasowska",2
"Agnieszka Chadzynska-Krasowska","Dominik Slezak",2
"Agnieszka Chadzynska-Krasowska","Joel Holland",2
"Agustin Zuniga","Eemil Lagerspetz",2
"Agustin Zuniga","Huber Flores",2
"Agustin Zuniga","Jukka Manner",2
"Agustin Zuniga","Pan Hui 0001",2
"Agustin Zuniga","Petteri Nurmi",2
"Agustin Zuniga","Sasu Tarkoma",2
"Jon Reginbald Ivarsson","Ahmad Al-Shishtawy",2
"Ahmad Al-Shishtawy","Vladimir Vlassov",2
"Zainab Abbas","Ahmad Al-Shishtawy",2
"Porter Jenkins","Ahmad Farag",2
"Ahmad Farag","Suhang Wang",2
"Ahmad Farag","Zhenhui Li",2
"Meznah A. Alamro","Ahmad O. Aseeri",2
"Ahmad O. Aseeri","Mohammed Saeed Alkatheiri",2
"Yu Zhuang","Ahmad O. Aseeri",2
"Ahmad Slo","Albert Flaig",2
"Ahmad Slo","Kurt Rothermel",2
"Ahmad Slo","Sukanya Bhowmik",2
"Ahmed El-Kishky","Aston Zhang",2
"Ahmed El-Kishky","Frank F. Xu",2
"Hyungsul Kim","Ahmed El-Kishky",2
"Ahmed El-Kishky","Jiawei Han 0001",4
"Ahmed El-Kishky","Xiang Ren 0001",2
"Ahmed Eldawy","Vagelis Hristidis",2
"Fang Qiao","Ahmed Hassan Awadallah",2
"Joel Mackenzie","Ahmed Hassan Awadallah",2
"Kshitiz Gupta","Ahmed Hassan Awadallah",2
"Ahmed Hassan Awadallah","Milad Shokouhi",2
"Ahmed Lasisi","Allan Zarembski",2
"Ahmed Lasisi","Antonio Merheb",2
"Ahmed Lasisi","Nii O. Attoh-Okine",2
"Ahmed M. Balfagih","Vlado Keselj",2
"Ahmed Rashed","Josif Grabocka",2
"Ahmed Rashed","Lars Schmidt-Thieme",4
"Shayan Jawed","Ahmed Rashed",2
"Seyed-Vahid Sanei-Mehri","Ahmet Erdem Sariyüce",2
"Ahmet Erdem Sariyüce","Srikanta Tirthapura",2
"Yu Zhang","Ahmet Erdem Sariyüce",2
"Mehmet Selman Sezgin","Ahmet Tugrul Bayrak",2
"Ahmet Tugrul Bayrak","Olcay Taner Ytldtz",2
"Chathura Widanage","Ahmet Uyar",2
"Gregor von Laszewski","Ahmet Uyar",2
"Ahmet Uyar","Gurhan Gunduz",2
"Kannan Govindarajan","Ahmet Uyar",2
"Niranda Perera","Ahmet Uyar",2
"Pulasthi Wickramasinghe","Ahmet Uyar",2
"Ahmet Uyar","Selahattin Akkas",2
"Supun Kamburugamuve","Ahmet Uyar",2
"Vibhatha Abeykoon","Ahmet Uyar",2
"Chen Wang","Aibek Musaev",2
"Deke Guo","Aibo Guo",2
"Qianzhen Zhang","Aibo Guo",2
"Xiang Zhao 0002","Aibo Guo",2
"Zerong Liu","Aidong Lu",2
"Aidong Yang","Fanyu Meng",2
"Aidong Yang","Shuming Zeng",2
"Ye Ouyang","Aidong Yang",2
"Guangxu Xun","Aidong Zhang",2
"Kishlay Jha","Aidong Zhang",2
"Yaqing Wang","Aidong Zhang",2
"Aileen Benedict","Elise Demeter",2
"Erfan Al-Hossami","Aileen Benedict",2
"Mohsen Dorodchi","Aileen Benedict",2
"Ailing Piao","Dongxin Liu",2
"Ailing Piao","Huajie Shao",2
"Ailing Piao","Jiawei Han 0001",2
"Ailing Piao","Jinyang Li 0004",2
"Ailing Piao","Lu Su",2
"Ailing Piao","Shaohan Hu",2
"Ailing Piao","Shengzhong Liu",2
"Shuochao Yao","Ailing Piao",2
"Ailing Piao","Tarek F. Abdelzaher",2
"Ailing Piao","Tianshi Wang",2
"Ailing Piao","Wenjun Jiang",2
"Ailing Piao","Yiran Zhao",2
"Kaiqi Zhao 0001","Aiqun Hu",2
"Kaiyu Feng","Aiqun Hu",2
"Lanting Fang","Aiqun Hu",2
"Yong Luo","Aiqun Hu",2
"Dongxiang Zhang","Airong Jiang",2
"Airong Jiang","Hui Xiong 0001",2
"Jin Xu","Airong Jiang",2
"Jingbo Zhou","Airong Jiang",2
"Renjun Hu","Airong Jiang",2
"Shan Gou","Airong Jiang",2
"Airong Jiang","Ying Li",2
"Chen Zhe","Aixin Sun",2
"Gao Cong","Aixin Sun",2
"Aixin Sun","Minlie Huang",2
"Aixin Sun","Xiaokui Xiao",2
"Aixin Sun","Xiaoyan Zhu 0001",2
"Xiucheng Li","Aixin Sun",2
"Yequan Wang","Aixin Sun",2
"Aixin Sun","Yun Cheng",2
"Masha Gorkovenko","Ajay Dholakia",2
"Miro Hodak","Ajay Dholakia",2
"Ajay Rastogi","Syed Afzal Murtaza Rizvi",2
"Syed Shafat Ali","Ajay Rastogi",2
"Tarique Anwar","Ajay Rastogi",2
"Ajit Kumar 0001","Andrii Shalaginov",2
"Ajit Kumar 0001","Bhawna Yadav",2
"Ajit Kumar 0001","Saket Upadhyay",2
"Ajit Kumar 0001","Shishir K. Shandilya",2
"Ajit Kumar 0001","Vinti Agarwal",2
"Ajitesh Srivastava","Charalampos Chelmis",2
"Ajitesh Srivastava","Rajgopal Kannan",2
"Ajitesh Srivastava","Viktor K. Prasanna",2
"Akankshya Mishra","Yashvardhan Sharma",2
"Fahimeh Mirza Soltani","Akbar Siami Namin",2
"Faranak Abri","Akbar Siami Namin",2
"Mahdi Adl Khanghah","Akbar Siami Namin",2
"Neda Tavakoli","Akbar Siami Namin",2
"Sima Siami-Namini","Akbar Siami Namin",4
"Akhil Arora 0001","Arnab Bhattacharya 0001",2
"Jithin Vachery","Akhil Arora 0001",2
"Akhil Arora 0001","Sayan Ranu",2
"Chen Qian 0003","Akhil Kumar 0001",2
"Lijie Wen","Akhil Kumar 0001",2
"Akihiro Yoshida","Akira Tanaka",2
"Akihiro Yoshida","Katsuki Fujisawa",2
"Akihiro Yoshida","Kenichi Nagamatsu",2
"Akihiro Yoshida","Nariaki Tateiwa",2
"Akihiro Yoshida","Nozomi Hata",2
"Akihiro Yoshida","Takashi Wakamatsu",2
"Akihiro Yoshida","Tatsuru Higurashi",2
"Akihiro Yoshida","Yosuke Yatsushiro",2
"Akil Arif Ibrahim","Prithviraj Chavan",2
"Shiv Kumar Saini","Akil Arif Ibrahim",2
"Sunny Dhamnani","Akil Arif Ibrahim",2
"Satoshi Kuwamoto","Akinori Asahara",2
"Yu Kitano","Akinori Asahara",2
"Akira Tanaka","Katsuki Fujisawa",2
"Akira Tanaka","Kenichi Nagamatsu",2
"Nariaki Tateiwa","Akira Tanaka",2
"Nozomi Hata","Akira Tanaka",2
"Takashi Wakamatsu","Akira Tanaka",2
"Tatsuru Higurashi","Akira Tanaka",2
"Yosuke Yatsushiro","Akira Tanaka",2
"Aminul Islam","AKM Shahariar Azad Rabby",2
"Fuad Rahman","AKM Shahariar Azad Rabby",2
"Akshay Aggarwal","Chuck Bear",2
"Akshay Aggarwal","Jaimin Dave",2
"Akshay Aggarwal","Michael Leuchtenburg",2
"Akshay Aggarwal","Nga Tran",2
"Thao Pham","Akshay Aggarwal",2
"Yuanzhe Bei","Akshay Aggarwal",2
"Akshay Krishnamurthy","Andrew McCallum",2
"Ari Kobren","Akshay Krishnamurthy",2
"Akshay Krishnamurthy","Michael R. Glass",2
"Nicholas Monath","Akshay Krishnamurthy",2
"Alan B. Cannaday II","Curt H. Davis",2
"Alan B. Cannaday II","Grant J. Scott",2
"Alan B. Cannaday II","James Alex Hurt",2
"Alan B. Cannaday II","Raymond L. Chastain",2
"Alan Martin","Ana Catarino",2
"Alan Martin","Andrew D. Blackwell",2
"Michael P. Ewbank","Alan Martin",2
"Ronan Cummins","Alan Martin",2
"Alan Martin","Valentin Tablan",2
"Elissa M. Redmiles","Alan Mislove",2
"Giridhari Venkatadri","Alan Mislove",2
"Alan Mislove","Krishna P. Gummadi",2
"Alan Mislove","Michelle L. Mazurek",2
"Alan Mislove","Oana Goga",2
"Piotr Sapiezynski","Alan Mislove",2
"Alana Shine","David Kempe 0001",2
"Bernhard Pfahringer","Albert Bifet",2
"Dihia Boulegane","Albert Bifet",4
"Albert Bifet","Dong-Wan Choi",2
"Albert Bifet","Ghislain Fiévet",2
"Albert Bifet","Giyyarpuram Madhusudan",2
"Heitor Murilo Gomes","Albert Bifet",4
"Albert Bifet","Jimin Sohn",2
"Minh-Huong Le Nguyen","Albert Bifet",2
"Mostafa Haghir Chehreghani","Albert Bifet",2
"Nedeljko Radulovic","Albert Bifet",2
"Rodrigo Fernandes de Mello","Albert Bifet",2
"Albert Bifet","Seojeong Yu",2
"Albert Bifet","Talel Abdessalem",2
"Albert Bifet","Yeonwoo Nam",2
"Albert Flaig","Kurt Rothermel",2
"Sukanya Bhowmik","Albert Flaig",2
"Devki Nandan Jha","Albert Y. Zomaya",2
"Michael Nee","Albert Y. Zomaya",2
"Albert Y. Zomaya","Rajiv Ranjan",2
"Zhenyu Wen","Albert Y. Zomaya",2
"Alberto Cano 0001","Bartosz Krawczyk",2
"Lukasz Korycki","Alberto Cano 0001",2
"Cristian Consonni","Alberto Montresor",2
"David Laniado","Alberto Montresor",2
"Alberto Tarable","Alessandro Nordio",2
"Mahesh K. Marina","Alberto Tarable",2
"Marco Fiore","Alberto Tarable",2
"Rajkarn Singh","Alberto Tarable",2
"Aldo Lipani","Emine Yilmaz",4
"Qiang Zhang 0026","Aldo Lipani",4
"Shangsong Liang","Aldo Lipani",4
"Aldo Lipani","Zhaochun Ren",2
"Aldrich Mangune","Bin Yu",2
"Aldrich Mangune","Cricket Liu",2
"Junlan Lu","Aldrich Mangune",2
"Aldrich Mangune","Magdalini Eirinaki",2
"Nikhil Takappa Saunshi","Aldrich Mangune",2
"Alireza Abdoli","Alec C. Gerry",2
"Amy C. Murillo","Alec C. Gerry",2
"Alec C. Gerry","Eamonn J. Keogh",2
"Alkiviadis Giannakoulias","Aleksandar Jevremovic",2
"Igor Kotsiuba","Aleksandar Jevremovic",2
"Inna Skarga-Bandurova","Aleksandar Jevremovic",2
"Mykhailo Chaikin","Aleksandar Jevremovic",2
"Aleksander Fabijan","Jayant Gupchup",2
"Aleksander Fabijan","Jeff Omhover",2
"Aleksander Fabijan","Lukas Vermeer",2
"Aleksander Fabijan","Pavel A. Dmitriev",2
"Aleksander Fabijan","Somit Gupta",2
"Aleksander Fabijan","Wen Qin",2
"Jieming Mao","Aleksandrs Slivkins",2
"Nicole Immorlica","Aleksandrs Slivkins",2
"Aleksandrs Slivkins","Zhiwei Steven Wu",2
"Ariel Fuxman","Aleksei Timofeev",2
"Aleksei Timofeev","Chao Jia",2
"Aleksei Timofeev","Chen Sun",2
"Chun-Ta Lu","Aleksei Timofeev",2
"Krishnamurthy Viswanathan","Aleksei Timofeev",2
"Manan Shah","Aleksei Timofeev",2
"Zhen Li","Aleksei Timofeev",2
"Aleksei Triastcyn","Boi Faltings",2
"Daniel Cunnington","Alessandra Russo",2
"Dinesh C. Verma","Alessandra Russo",2
"Elisa Bertino","Alessandra Russo",4
"Alessandra Russo","Graham White 0002",2
"Mark Law","Alessandra Russo",2
"Seraphin B. Calo","Alessandra Russo",4
"Alessandro Bozzon","Geert-Jan Houben",2
"Sihang Qiu","Alessandro Bozzon",2
"Alessandro Celestini","Enrico Mastrostefano",2
"Alessandro Celestini","Flavio Lombardi",2
"Massimo Bernaschi","Alessandro Celestini",2
"Alessandro Celestini","Stefano Guarino",2
"Alessandro Epasto","Bryan Perozzi",2
"Alessandro Epasto","Hossein Esfandiari",2
"Alessandro Epasto","Mohammad Mahdian",2
"Alessandro Epasto","Ravi Kumar 0001",2
"Sara Ahmadian","Alessandro Epasto",2
"Alessandro Epasto","Vahab S. Mirrokni",2
"Mahesh K. Marina","Alessandro Nordio",2
"Marco Fiore","Alessandro Nordio",2
"Rajkarn Singh","Alessandro Nordio",2
"Alessandro Nuara","Francesco Trovò",2
"Alessandro Nuara","Marcello Restelli",2
"Alessandro Nuara","Maria Chiara Zaccardi",2
"Alessandro Nuara","Nicola Gatti 0001",2
"Alessandro Nuara","Nicola Sosio",2
"Christian Quadri","Alessia Galdeman",2
"Alessia Galdeman","Gian Paolo Rossi 0001",2
"Matteo Zignani","Alessia Galdeman",2
"Alessia Galdeman","Sabrina Gaito",2
"Alessio Conte","Donatella Firmani",2
"Alessio Conte","Maurizio Patrignani",2
"Alessio Conte","Riccardo Torlone",2
"Alessio Pagliari","Fabrice Huet",2
"Alessio Pagliari","Guillaume Urvoy-Keller",2
"Alessio Signorini","Andrew Trister",2
"Alessio Signorini","Belle Tseng",2
"Filip Jankovic","Alessio Signorini",2
"Alessio Signorini","Han Hee Song",2
