"from","to","weight"
"Özgür L. Özçep","Ahmet Soylu",2
"Özgür L. Özçep","Arild Waaler",2
"Christian Neuenstadt","Özgür L. Özçep",2
"Özgür L. Özçep","Christoforos Svingos",2
"Özgür L. Özçep","Diego Calvanese",2
"Dimitris Bilidas","Özgür L. Özçep",2
"Özgür L. Özçep","Dmitriy Zheleznyakov",2
"Ernesto Jiménez-Ruiz","Özgür L. Özçep",2
"Evgeny Kharlamov","Özgür L. Özçep",2
"Özgür L. Özçep","Guohui Xiao 0001",2
"Özgür L. Özçep","Ian Horrocks",2
"Konstantina Bereta","Özgür L. Özçep",2
"Özgür L. Özçep","Martin Giese",2
"Özgür L. Özçep","Ralf Möller 0001",2
"Sebastian Brandt 0001","Özgür L. Özçep",2
"Steffen Lamparter","Özgür L. Özçep",2
"Theofilos P. Mailis","Özgür L. Özçep",2
"Özgür L. Özçep","Yannis E. Ioannidis",2
"Özgür L. Özçep","Yannis Kotidis",2
"Jeffrey S. Saltz","Özgür Yilmazel",2
"Sibel Yilmazel","Özgür Yilmazel",2
"A. Aziz Altowayan","Lixin Tao",2
"A. Munoz-Jaramillo","C. E. DeForest",2
"A. Munoz-Jaramillo","D. A. Lamb",2
"A. Munoz-Jaramillo","D. W. Longcope",2
"A. Munoz-Jaramillo","J. C. Windmueller",2
"A. Munoz-Jaramillo","J. P. Vargas-Acosta",2
"A. Munoz-Jaramillo","J. W. Harvey",2
"A. Munoz-Jaramillo","J. Zhang",2
"A. Munoz-Jaramillo","M. D. DeLuca",2
"A. Munoz-Jaramillo","P. C. H. Martens",2
"A. Munoz-Jaramillo","S. Vargas-Dominguez",2
"A. Munoz-Jaramillo","Z. A. Werginz",2
"A. Murat Ozbayoglu","Aras Onal",2
"Erdogan Dogdu","A. Murat Ozbayoglu",6
"Omer Berat Sezer","A. Murat Ozbayoglu",2
"Sercan Kulcu","A. Murat Ozbayoglu",2
"A. Murat Ozbayoglu","Yusuf Gökhan Küçükayan",2
"Hesam Amoualian","Éric Gaussier",2
"Marianne Clausel","Éric Gaussier",2
"Éric Gaussier","Massih-Reza Amini",2
"Aaron Cahn","Paul Barford",2
"Aaron Cahn","S. Muthukrishnan",2
"Aaron Cahn","Scott Alfeld",2
"Daniel B. Larremore","Aaron Clauset",2
"Samuel F. Way","Aaron Clauset",2
"Aaron Gerow","Eamon Duede",2
"Kyle Chard","Aaron Gerow",2
"Yadu N. Babuji","Aaron Gerow",2
"Diyi Yang","Aaron Halfaker",2
"Aaron Halfaker","Eduard H. Hovy",2
"Aaron Halfaker","Robert E. Kraut",2
"Aaron Levine","Ankur Datta",2
"Aaron Levine","Giuseppe Di Fabbrizio",2
"Pradipto Das","Aaron Levine",2
"Yandi Xia","Aaron Levine",2
"Alexander Ulanov","Aaron Staple",2
"Burak Yavuz","Aaron Staple",2
"Evan R. Sparks","Aaron Staple",2
"Li Pu","Aaron Staple",2
"Aaron Staple","Matei Zaharia",2
"Reza Bosagh Zadeh","Aaron Staple",2
"Shivaram Venkataraman","Aaron Staple",2
"Xiangrui Meng","Aaron Staple",2
"Abdel-Rahman H. Tawil","Elyes Lamine",2
"Kingsley Okoye","Abdel-Rahman H. Tawil",2
"Abdel-Rahman H. Tawil","Syed Islam",2
"Abdel-Rahman H. Tawil","Usman Naeem",2
"Mohammad Mehedy Masud","Abdel Rahman Al Harahsheh",2
"Abdeltawab M. Hendawi","Fatemah Alali",2
"Hao Wu","Abdeltawab M. Hendawi",2
"Haoran Liu","Abdeltawab M. Hendawi",2
"Jieming Bin","Abdeltawab M. Hendawi",2
"Abdeltawab M. Hendawi","John A. Stankovic",2
"Nada Basit","Abdeltawab M. Hendawi",4
"Abdeltawab M. Hendawi","Tianshu Zhou",2
"Abdeltawab M. Hendawi","Xiao Liu",2
"Abdeltawab M. Hendawi","Xiaoyu Wang",2
"Yijun He","Abdeltawab M. Hendawi",2
"Abdeltawab M. Hendawi","Yunfei Guan",2
"Yutong Zhang","Abdeltawab M. Hendawi",2
"Abdesattar Mhadhbi","Badran Raddaoui",2
"Abdesattar Mhadhbi","Lakhdar Sais",2
"Nizar Mhadhbi","Abdesattar Mhadhbi",2
"Saïd Jabbour","Abdesattar Mhadhbi",2
"Biplob Debnath","Abdullah Mueen",2
"Abdullah Mueen","Eamonn J. Keogh",2
"Guofei Jiang","Abdullah Mueen",2
"Hossein Hamooni","Abdullah Mueen",2
"Hui Zhang 0002","Abdullah Mueen",2
"Jianwu Xu","Abdullah Mueen",2
"Abhijnan Chakraborty","Krishna P. Gummadi",2
"Abhijnan Chakraborty","Niloy Ganguly",2
"Abhijnan Chakraborty","Saptarshi Ghosh 0001",2
"Ganesh Venkataraman","Abhimanyu Lad",2
"Abhimanyu Lad","Lin Guo",2
"Abhimanyu Lad","Shakti Sinha",2
"Charles Siegel","Abhinav Vishnu",2
"Jeff Daily","Abhinav Vishnu",2
"Aparna Oruganti","Abhishek Dubey",2
"Fangzhou Sun","Abhishek Dubey",2
"Hiba Baroud","Abhishek Dubey",2
"Evangelia Christakopoulou","Abhishek Gupta",2
"Shipeng Yu","Abhishek Gupta",2
"Abhishek Sikchi","Pawan Goyal",2
"Abhishek Sikchi","Samik Datta",2
"Anna Hennig","Abid Hussain",2
"Anne-Sofie Amodt","Abid Hussain",2
"Benjamin Flesch","Abid Hussain",4
"Florian Winder","Abid Hussain",2
"Helene Mejer Nygardsmoen","Abid Hussain",2
"Henrik Hernes","Abid Hussain",2
"Henrikke Hovda Larsen","Abid Hussain",2
"Johanna Margareta Forsberg","Abid Hussain",2
"Linda Camilla Boldt","Abid Hussain",2
"Mats Ekran","Abid Hussain",2
"Melanie Schnittger","Abid Hussain",2
"Niels Buus Lassen","Abid Hussain",2
"Peter Arenfeldt Larsen","Abid Hussain",2
"Raghava Rao Mukkamala","Abid Hussain",6
"Abid Hussain","Ravi Vatrapu",6
"Sigrid Viken Hemstad","Abid Hussain",2
"Vinothan Vinayagamoorthy","Abid Hussain",2
"Abir Zayani","Chiheb-Eddine Ben N'cir",2
"Abir Zayani","Nadia Essoussi",2
"Lei Zhang 0034","Achim Rettinger",2
"Michael Färber 0001","Achim Rettinger",2
"Chikashi Nobata","Achint Thomas",2
"Joel R. Tetreault","Achint Thomas",2
"Achint Thomas","Yashar Mehdad",2
"Achint Thomas","Yi Chang 0001",2
"Chong Wang","Achir Kalra",2
"Achir Kalra","Cristian Borcea",2
"Achir Kalra","Yi Chen 0001",2
"Alla Rozovskaya","Achla Marathe",2
"Achla Marathe","Andy Doyle",2
"Anil Vullikanti","Achla Marathe",2
"Chang-Tien Lu","Achla Marathe",2
"Achla Marathe","David Mares",2
"Achla Marathe","Dipak K. Gupta",2
"Achla Marathe","Graham Katz",2
"Achla Marathe","Jaime Arredondo",2
"Jose Cadena","Achla Marathe",2
"Achla Marathe","Kristen Maria Summers",2
"Liang Zhao 0002","Achla Marathe",2
"Achla Marathe","Naren Ramakrishnan",2
"Nathan Self","Achla Marathe",2
"Parang Saraf","Achla Marathe",2
"Patrick Butler","Achla Marathe",2
"Rupinder Paul Khandpur","Achla Marathe",2
