"from","to","weight"
"Sathappan Muthiah","Achla Marathe",2
"Adam Jatowt","Daisuke Kawai",2
"Adam Jatowt","Katsumi Tanaka",6
"Yating Zhang","Adam Jatowt",4
"Johnny Ren","Adam M. Alessio",2
"Maitham D. Naeemi","Adam M. Alessio",2
"Nathan Hollcroft","Adam M. Alessio",2
"Adam M. Alessio","Sohini Roychowdhury",2
"Adam M. Leadbetter","Adam Shepherd",2
"Adam M. Leadbetter","Damian Smyth",2
"Adam M. Leadbetter","Eoin O'Grady",2
"Adam M. Leadbetter","Robert Fuller",2
"Damian Smyth","Adam Shepherd",2
"Eoin O'Grady","Adam Shepherd",2
"Robert Fuller","Adam Shepherd",2
"Ali Vanderveld","Addhyan Pandey",2
"Addhyan Pandey","Angela Han",2
"Addhyan Pandey","Rajesh Parekh",2
"Adel Assiri","Ahmed Emam",2
"Adel Assiri","Hmood Al-Dossari",2
"Adetokunbo Makanju","Aijun An",2
"Adetokunbo Makanju","Nick Cercone",2
"Adetokunbo Makanju","Yonggang Hu",2
"Adetokunbo Makanju","Zahra Farzanyar",2
"Adetokunbo Makanju","Zane Zhenhua Hu",2
"Adi Omari","Benny Kimelfeld",2
"Adi Omari","Eran Yahav",2
"Adi Omari","Sharon Shoham",2
"Adiska Fardani Haryadi","Agung Wahyudi",2
"Adiska Fardani Haryadi","Haiko Van Der Voort",2
"Adiska Fardani Haryadi","Joris Hulstijn",2
"Adiska Fardani Haryadi","Marijn Janssen 0001",2
"Aditi Gupta 0003","Anupam Joshi",2
"Aditi Gupta 0003","Claudia Pearce",2
"Karuna P. Joshi","Aditi Gupta 0003",2
"Aditi Gupta 0003","Sudip Mittal",2
"Aditi Gupta 0003","Tim Finin",2
"Alex Gittens","Aditya Devarakonda",2
"Aditya Devarakonda","Evan Racah",2
"Aditya Devarakonda","James Demmel",2
"Aditya Devarakonda","Jatin Chhugani",2
"Aditya Devarakonda","Jey Kottalam",2
"Aditya Devarakonda","Jialin Liu 0002",2
"Aditya Devarakonda","Jim Harrell",2
"Aditya Devarakonda","Jiyan Yang",2
"Aditya Devarakonda","Kristyn J. Maschhoff",2
"Aditya Devarakonda","Lisa Gerhardt",2
"Aditya Devarakonda","Michael F. Ringenburg",2
"Aditya Devarakonda","Michael W. Mahoney",2
"Aditya Devarakonda","Prabhat",2
"Aditya Devarakonda","Pramod Sharma",2
"Aditya Devarakonda","Shane Canon",2
"Aditya Devarakonda","Venkat Krishnamurthy",2
"Aditya G. Parameswaran","Jiawei Han 0001",2
"Tarique Siddiqui","Aditya G. Parameswaran",2
"Xiang Ren 0001","Aditya G. Parameswaran",2
"Yihan Gao","Aditya G. Parameswaran",2
"Aditya Grover","Jure Leskovec",2
"Jagat Sesh Challa","Aditya Mangla",2
"Aditya Mangla","Navneet Goyal",2
"Poonam Goyal","Aditya Mangla",2
"S. Nikhil 0001","Aditya Mangla",2
"Aditya Mangla","Sundar Balasubramaniam",2
"Aditya Pal","Amaç Herdagdelen",2
"Aditya Pal","Deepayan Chakrabarti",2
"Aditya Pal","Sourav Chatterji",2
"Aditya Pal","Sumit Taank",2
"Chris Xing Tian","Aditya Pan",2
"Aditya Pan","Yong Chiang Tay",2
"Clayton Gandy","Adriana Iamnitchi",2
"John Skovertz","Adriana Iamnitchi",2
"Xiang Zuo","Adriana Iamnitchi",2
"Adriano César Machado Pereira","Daniel Hasan Dalip",2
"Adriano César Machado Pereira","Fabrício Benevenuto",2
"Flávio Luis Cardeal Pádua","Adriano César Machado Pereira",2
"Moisés Henrique Ramos Pereira","Adriano César Machado Pereira",2
"Chenhao Tan","Adrien Friggeri",2
"Adrien Friggeri","Lada A. Adamic",2
"Aduri Pavan","J. Smith",2
"Aduri Pavan","N. V. Vinodchandran",2
"Aduri Pavan","Paul Quint",2
"Aduri Pavan","Stephen D. Scott",2
"Agung Wahyudi","Haiko Van Der Voort",2
"Joris Hulstijn","Agung Wahyudi",2
"Agung Wahyudi","Marijn Janssen 0001",2
"Aharon Abadi","Aidan Shribman",2
"Aharon Abadi","Alaa Nassar",2
"Aharon Abadi","Ashraf Haib",2
"Aharon Abadi","Hisham Yasin",2
"Aharon Abadi","Roie Melamed",2
"Ahmad Mahmoody","Charalampos E. Tsourakakis",2
"Ahmad Mahmoody","Eli Upfal",2
"Ahmed Emam","Hmood Al-Dossari",2
"Aidan C. Crook","Ahmed Hassan Awadallah",4
"Ahmed Hassan Awadallah","Imed Zitouni",4
"Julia Kiseleva","Ahmed Hassan Awadallah",2
"Ahmed Hassan Awadallah","Kyle Williams",4
"Madian Khabsa","Ahmed Hassan Awadallah",4
"Ahmed Hassan Awadallah","Tasos Anastasakos",2
"Akram Aldroubi","Ahmet Bugra Koku",2
"Ali Sekmen","Ahmet Bugra Koku",2
"Berkay Aydin","Ahmet Küçük",2
"Ahmet Küçük","Rafal A. Angryk",2
"Ahmet Soylu","Arild Waaler",2
"Christian Neuenstadt","Ahmet Soylu",2
"Ahmet Soylu","Christoforos Svingos",2
"Ahmet Soylu","Diego Calvanese",2
"Dimitris Bilidas","Ahmet Soylu",2
"Ahmet Soylu","Dmitriy Zheleznyakov",2
"Ernesto Jiménez-Ruiz","Ahmet Soylu",2
"Evgeny Kharlamov","Ahmet Soylu",2
"Ahmet Soylu","Guohui Xiao 0001",2
"Ahmet Soylu","Ian Horrocks",2
"Konstantina Bereta","Ahmet Soylu",2
"Ahmet Soylu","Martin Giese",2
"Ahmet Soylu","Ralf Möller 0001",2
"Sebastian Brandt 0001","Ahmet Soylu",2
"Steffen Lamparter","Ahmet Soylu",2
"Theofilos P. Mailis","Ahmet Soylu",2
"Ahmet Soylu","Yannis E. Ioannidis",2
"Ahmet Soylu","Yannis Kotidis",2
"Ahsanul Haque","Charu C. Aggarwal",4
"Ahsanul Haque","Latifur Khan",4
"Swarup Chandra","Ahsanul Haque",4
"Ahsanul Haque","Yupeng Gao",2
"Ahsanul Haque","Zhuoyi Wang",2
"Aidan C. Crook","Imed Zitouni",4
"Julia Kiseleva","Aidan C. Crook",2
"Aidan C. Crook","Kyle Williams",4
"Madian Khabsa","Aidan C. Crook",4
"Aidan C. Crook","Tasos Anastasakos",2
"Alaa Nassar","Aidan Shribman",2
"Ashraf Haib","Aidan Shribman",2
"Aidan Shribman","Hisham Yasin",2
"Roie Melamed","Aidan Shribman",2
"Fenglong Ma","Aidong Zhang",2
"Houping Xiao","Aidong Zhang",2
"Jing Gao 0004","Aidong Zhang",2
"Lu Su","Aidong Zhang",2
"Qi Li 0012","Aidong Zhang",2
"Yunlong Feng","Aidong Zhang",2
"Morteza Zihayat","Aijun An",2
"Aijun An","Nick Cercone",2
"Aijun An","Yonggang Hu",4
"Zahra Farzanyar","Aijun An",2
"Zane Zhenhua Hu","Aijun An",4
"Chenliang Li","Aixin Sun",2
"Gao Cong","Aixin Sun",4
"Aixin Sun","Jialong Han",2
"Jian Xing","Aixin Sun",2
"Kaiqi Zhao 0001","Aixin Sun",2
"Zongcheng Ji","Aixin Sun",2
"Aixin Sun","Zongyang Ma",2
"Asim Karim","Aizaz Anwar",2
"Faisal Kamiran","Aizaz Anwar",2
"Sameen Mansha","Aizaz Anwar",2
"Ajinkya Prabhune","Anil Keshav",2
"Ajinkya Prabhune","Hasebullah Ansari",2
"Ajinkya Prabhune","Jürgen Hesser",2
"Ajinkya Prabhune","Michael Gertz 0001",2
"Ajinkya Prabhune","Rainer Stotzka",2
"Bilal Sadiq","Akhlaq Ahmad",2
"Akhlaq Ahmad","Emad A. Felemban",2
"Shahbaz Atta","Akhlaq Ahmad",2
"Akhlaq Ahmad","Sheikh Nasir Saeed",2
"Aki-Hiro Sato","Tsutomu Watanabe",2
"Akihiro Nomura 0002","Hiroki Nishimura",2
"Akihiro Nomura 0002","Ikuro Sato",2
"Akihiro Nomura 0002","Satoshi Matsuoka",2
"Yosuke Oyama","Akihiro Nomura 0002",2
"Akihiro Nomura 0002","Yukimasa Tamatsu",2
"Akira Ishii","Masanori Ajito",2
"Akira Ishii","Yasuko Kawahata",2
"Yuki Yano","Akira Tajima",2
"Yukihiro Tagami","Akira Tajima",2
"Akira Umayabara","Hayato Yamana",2
"Hiroki Imabayashi","Akira Umayabara",2
"Yu Ishimaki","Akira Umayabara",2
"Ali Sekmen","Akram Aldroubi",2
"Christos Doulkeridis","Akrivi Vlachou",2
"Akrivi Vlachou","Kjetil Nørvåg",2
"Mei Saouk","Akrivi Vlachou",2
"Ashraf Haib","Alaa Nassar",2
"Alaa Nassar","Hisham Yasin",2
"Roie Melamed","Alaa Nassar",2
"Hendrik F. Hamann","Alan Li",2
"Jeffrey Cwagenberg","Alan Li",2
"Leda Daehler","Alan Li",2
"Siyuan Lu","Alan Li",2
"Theodore G. van Kessel","Alan Li",2
"Xiaoyan Shao","Alan Li",2
"Alan Mislove","Christo Wilson",2
"Le Chen","Alan Mislove",2
"Mike Lakoju","Alan Serrano",2
"Alan Woodley","Ling-Xiang Tang",2
"Alan Woodley","Richi Nayak",2
"Alan Woodley","Shlomo Geva",2
"Alan Woodley","Timothy Chappell",2
"Huasen Wu","Albara Ah Ramli",2
"Tianxiao Zhang","Albara Ah Ramli",2
"Albara Ah Ramli","Xin Liu 0002",2
"Yanan Bao","Albara Ah Ramli",2
"Albert Banchs","Arturo Azcorra",2
"Miriam Marciel","Albert Banchs",2
"Albert Banchs","Mohamed Ahmed",2
"Albert Banchs","Roberto Gonzalez",2
"Rubén Cuevas","Albert Banchs",2
"Albert Banchs","Stefano Traverso",2
"Albert Bifet","Arinto Murdopo",2
"Gianmarco De Francisci Morales","Albert Bifet",4
"Albert Bifet","João Gama 0001",2
"Albert Bifet","Latifur Khan",2
"Nicolas Kourtellis","Albert Bifet",2
"Albert Bifet","Wei Fan 0001",2
"Alberto Barrón-Cedeño","Alessandro Moschitti",2
"Alberto Barrón-Cedeño","Antonio Uva 0001",2
"Giovanni Da San Martino","Alberto Barrón-Cedeño",2
"Alberto Barrón-Cedeño","Salvatore Romeo",2
"Aldo Lipani","Allan Hanbury",2
"Aldo Lipani","Evangelos Kanoulas",2
"Aldo Lipani","Mihai Lupu",2
"Alejandro Jaimes","Alice H. Oh",2
"Amin Mantrach","Alejandro Jaimes",2
"Joon Hee Kim","Alejandro Jaimes",2
"Jordi Vallmitjana","Alejandro Jaimes",2
"Miriam Redi","Alejandro Jaimes",2
"Yale Song","Alejandro Jaimes",2
"Ljiljana Stojanovic","Aleksandar Stojadinovic",2
"Marko Dinic","Aleksandar Stojadinovic",2
"Nenad Stojanovic","Aleksandar Stojadinovic",2
"Aleksandr Chuklin","Maarten de Rijke",2
"Deepak Ajwani","Alessandra Sala",2
"Jiongqian Liang","Alessandra Sala",2
"Patrick K. Nicholson","Alessandra Sala",2
"Alessandra Sala","Srinivasan Parthasarathy 0001",2
"Charles M. Doutriaux","Alessandro D'Anca",2
"Cosimo Palazzo","Alessandro D'Anca",2
"Alessandro D'Anca","Davide Salomoni",2
"Alessandro D'Anca","Dean N. Williams",2
"Donatello Elia","Alessandro D'Anca",2
"Alessandro D'Anca","Germán Moltó",2
"Alessandro D'Anca","Giacinto Donvito",2
"Alessandro D'Anca","Giovanni Aloisio",2
"Alessandro D'Anca","Ignacio Blanquer",2
"J. Boutte","Alessandro D'Anca",2
"Alessandro D'Anca","Mário David",2
"Marcin Plóciennik","Alessandro D'Anca",2
"Alessandro D'Anca","Marco Fargetta",2
"Michal Owsiak","Alessandro D'Anca",2
"Alessandro D'Anca","Miguel Caballer",2
"Alessandro D'Anca","Riccardo Bruno",2
"Alessandro D'Anca","Roberto Barbera",2
"Sandro Fiore","Alessandro D'Anca",2
"Tomasz Zok","Alessandro D'Anca",2
"Alessandro D'Anca","V. Anantharaj",2
"Alessandro D'Anca","Z. Shaheen",2
"Alessandro Epasto","Eli Upfal",2
"Lorenzo De Stefani","Alessandro Epasto",2
"Alessandro Epasto","Matteo Riondato",2
"Emilio Ferrara","Alessandro Flammini",2
"Filippo Menczer","Alessandro Flammini",2
"Onur Varol","Alessandro Flammini",2
"Antonio Uva 0001","Alessandro Moschitti",2
"Daniele Bonadiman","Alessandro Moschitti",2
"Giovanni Da San Martino","Alessandro Moschitti",2
"Kateryna Tymoshenko","Alessandro Moschitti",2
"Salvatore Romeo","Alessandro Moschitti",2
"Alessandro Panconesi","Erisa Terolli",2
"Marco Bressan 0002","Alessandro Panconesi",2
"Alessandro Panconesi","Prabhakar Raghavan",2
"Stefano Leucci 0001","Alessandro Panconesi",2
"Bryan Hooi","Alex Beutel",2
"Alex Beutel","Christos Faloutsos",2
"Hyun Ah Song","Alex Beutel",2
"Alex Beutel","Kijung Shin",2
"Alex Beutel","Neil Shah",2
"Alexandros Ntoulas","Alex Delis",2
"Katia Papakonstantinopoulou","Alex Delis",2
"Panagiotis Liakos","Alex Delis",4
"Alex Deng","Xiaolin Shi",2
"Alex Gittens","Evan Racah",2
"Alex Gittens","James Demmel",2
"Alex Gittens","Jatin Chhugani",2
"Alex Gittens","Jey Kottalam",2
"Alex Gittens","Jialin Liu 0002",2
"Alex Gittens","Jim Harrell",2
"Alex Gittens","Jiyan Yang",2
"Alex Gittens","Kristyn J. Maschhoff",2
"Alex Gittens","Lisa Gerhardt",2
"Alex Gittens","Michael F. Ringenburg",2
"Alex Gittens","Michael W. Mahoney",2
"Alex Gittens","Prabhat",2
"Alex Gittens","Pramod Sharma",2
"Alex Gittens","Shane Canon",2
"Alex Gittens","Venkat Krishnamurthy",2
"Brian Wilson","Alex Goodman",2
"Chris Mattmann","Alex Goodman",2
"Kim Whitehall","Alex Goodman",2
"Alex Goodman","Maziyar Boustani",2
"Alex Goodman","Paul M. Ramirez",2
"Alex Goodman","Paul Zimdars",2
"Rahul Palamuttam","Alex Goodman",2
"Alex Goodman","Sujen Shah",2
"Amidu Oloso","Alex Poliakov",2
"Alex Poliakov","Hongfeng Yu",2
"Kwo-Sen Kuo","Alex Poliakov",2
"Paul Brown","Alex Poliakov",2
"Thomas L. Clune","Alex Poliakov",2
"Dan Tasse","Alex Sciuto",2
"Alex Sciuto","Jason I. Hong",2
"Cheng Chen 0019","Alex Thomo",4
"Diana Popova","Alex Thomo",2
"Fang Dong","Alex Thomo",2
"Kui Wu 0001","Alex Thomo",4
"Ran Wei","Alex Thomo",2
"Sean Chester","Alex Thomo",2
"Shu Chen","Alex Thomo",2
"Venkatesh Srinivasan 0001","Alex Thomo",4
"Chang Yang","Alex X. Liu",2
"Huigui Rong","Alex X. Liu",2
"M. Zubair Shafiq","Alex X. Liu",2
"Xun Zhou","Alex X. Liu",2
"Julian J. McAuley","Alex Yang",2
"Alexander Brodsky 0001","M. Omar Nachawati",2
"Alexander Brodsky 0001","Mohan Krishnamoorthy",2
"Alexander Brodsky 0001","William Z. Bernstein",2
"Alexander C. Shulyak","Lizy K. John",2
"Alexander G. Nikolaev","Shounak Gore",2
"Alexander G. Nikolaev","Venu Govindaraju",2
"Christian Beecks","Alexander Graß",2
"Aravind Mohan","Alexander Kotov",2
"Mahdi Ebrahimi","Alexander Kotov",2
"Saeid Balaneshinkordan","Alexander Kotov",2
"Shiyong Lu","Alexander Kotov",2
"Alexander Markowetz","Maria Christoforaki",2
"Pascal Welke","Alexander Markowetz",2
"Alexander Markowetz","Torsten Suel",2
"Emanuel Jöbstl","Alexander Noe",2
"Huyen Chau Nguyen","Alexander Noe",2
"Alexander Noe","Matthias Stumpp",2
"Michael Axtmann","Alexander Noe",2
"Alexander Noe","Peter Sanders 0001",2
"Sebastian Lamm","Alexander Noe",2
"Alexander Noe","Sebastian Schlag",2
"Timo Bingmann","Alexander Noe",2
"Alexander Noe","Tobias Sturm",2
"Alexander Ororbia","Bart Pursel",2
"Alexander Ororbia","C. Lee Giles",2
"Alexander Ororbia","Chen Liang 0001",2
"Alexander Ororbia","Kyle Williams",2
"Shuting Wang","Alexander Ororbia",2
"Alexander Ororbia","Zhaohui Wu 0002",2
"Alexander S. Kotov","Karrie G. Karahalios",2
"Nikita V. Spirin","Alexander S. Kotov",2
"Alexander S. Kotov","Pavel A. Izhutov",2
"Alexander S. Kotov","Vassil Mladenov",2
"Alexander Stiemer","Heiko Schuldt",2
"Alexander Stiemer","Ilir Fetai",2
"Alexander Ulanov","Burak Yavuz",2
"Alexander Ulanov","Evan R. Sparks",2
"Alexander Ulanov","Li Pu",2
"Alexander Ulanov","Matei Zaharia",2
"Reza Bosagh Zadeh","Alexander Ulanov",2
"Alexander Ulanov","Shivaram Venkataraman",2
"Xiangrui Meng","Alexander Ulanov",2
"Alexandra Olteanu","Emre Kiciman",2
"Alexandra Olteanu","Onur Varol",2
"Ethan R. Elenberg","Alexandros G. Dimakis",2
"Karthikeyan Shanmugam","Alexandros G. Dimakis",2
"Michael Borokhovich","Alexandros G. Dimakis",2
"Angen Zheng","Alexandros Labrinidis",2
"Alexandros Labrinidis","Jack Lange",2
"Alexandros Labrinidis","Panos K. Chrysanthis",2
"Panagiotis Liakos","Alexandros Ntoulas",2
"Alexandru Costan","Esther Pacitti",2
"Alexandru Costan","Gabriel Antoniu",2
"Ji Liu 0003","Alexandru Costan",2
"Luis Pineda-Morales","Alexandru Costan",2
"Alexandru Costan","Marta Mattoso",2
"Alexandru Costan","Patrick Valduriez",2
"Alexey Borisov","Ilya Markov",2
"Alexey Borisov","Maarten de Rijke",4
"Alexey Borisov","Pavel Serdyukov",4
"Alexey Poyarkov","Alexey Drutsa",2
"Alexey Drutsa","Andrey Khalyavin",2
"Alexey Drutsa","Gleb Gusev",2
"Alexey Drutsa","Pavel Serdyukov",2
"Alexey Poyarkov","Andrey Khalyavin",2
"Alexey Poyarkov","Gleb Gusev",2
"Alexey Poyarkov","Pavel Serdyukov",2
"Alexey Svyatkovskiy","Kosuke Imai",2
"Alexey Svyatkovskiy","Mary Kroeger",2
"Alexey Svyatkovskiy","Yuki Shiraito",2
"Alexis Rodriguez","Arthur W. Toga",2
"Benjamin D. Heavner","Alexis Rodriguez",2
"Carl Kesselman","Alexis Rodriguez",2
"Alexis Rodriguez","Carole A. Goble",2
"Alexis Rodriguez","Eric W. Deutsch",2
"Ian T. Foster","Alexis Rodriguez",2
"Alexis Rodriguez","Ivo D. Dinov",2
"Alexis Rodriguez","Kristi Clark",2
"Kyle Chard","Alexis Rodriguez",2
"Mike D'Arcy","Alexis Rodriguez",2
"Alexis Rodriguez","Nathan D. Price 0001",2
"Ravi K. Madduri","Alexis Rodriguez",2
"Alexis Rodriguez","Stian Soiland-Reyes",2
"Belainine Billal","Alexsandro Fonseca",2
"Alexsandro Fonseca","Fatiha Sadat",2
"Alfredo Cuzzocrea","Carlo Mastroianni",2
"Alfredo Cuzzocrea","Giorgio Mario Grasso",2
"Ali Braytee","Daniel R. Catchpoole",2
"Ali Braytee","Paul J. Kennedy",2
"Ali Braytee","Wei Liu 0007",2
"Ali Vanderveld","Angela Han",2
"Ali Vanderveld","Rajesh Parekh",2
"Amin Mantrach","Alice H. Oh",2
"Joon Hee Kim","Alice H. Oh",2
"Ken Yocum","Alin Deutsch",2
"Vicky Papavasileiou","Alin Deutsch",2
"Walaa Eldin Moustafa","Alin Deutsch",2
"Alistair Moffat","Anthony Wirth",2
"Kewen Liao","Alistair Moffat",2
"Matthias Petri","Alistair Moffat",2
"Alla Rozovskaya","Andy Doyle",2
"Alla Rozovskaya","Anil Vullikanti",2
"Alla Rozovskaya","Chang-Tien Lu",2
"Alla Rozovskaya","David Mares",2
"Alla Rozovskaya","Dipak K. Gupta",2
"Alla Rozovskaya","Graham Katz",2
"Alla Rozovskaya","Jaime Arredondo",2
"Alla Rozovskaya","Jose Cadena",2
"Alla Rozovskaya","Kristen Maria Summers",2
"Alla Rozovskaya","Liang Zhao 0002",2
"Alla Rozovskaya","Naren Ramakrishnan",2
"Nathan Self","Alla Rozovskaya",2
"Parang Saraf","Alla Rozovskaya",2
"Patrick Butler","Alla Rozovskaya",2
"Rupinder Paul Khandpur","Alla Rozovskaya",2
"Sathappan Muthiah","Alla Rozovskaya",2
"Allan Hanbury","Andreas Rauber",2
"Evangelos Kanoulas","Allan Hanbury",2
"Allan Hanbury","Guido Zuccon",4
"João R. M. Palotti","Allan Hanbury",4
"Linda Andersson","Allan Hanbury",2
"Mihai Lupu","Allan Hanbury",6
"Navid Rekabsaz","Allan Hanbury",2
"Andy J. L. Ang","Allan N. Zhang",2
"B. Y. Ong","Allan N. Zhang",2
"Dazhi Yang","Allan N. Zhang",6
"Gary S. W. Goh","Allan N. Zhang",6
"Jasmine J. Lim","Allan N. Zhang",2
"Rong Wen","Allan N. Zhang",6
"Siwei Jiang","Allan N. Zhang",4
"Wenjing Yan","Allan N. Zhang",4
