"from","to","weight"
"Ömer Metin","Elif Tek",2
"Ömer Metin","Kasim Öztoprak",2
"Mustafa Dogan","Ömer Metin",2
"Ömer Metin","Semih Yumusak",2
"Özgür Özmen","Addi Thakur Malviya",2
"Özgür Özmen","Angela Laurio",2
"Özgür Özmen","Brian C. Sauer",2
"Özgür Özmen","Frank Drews",2
"Haoran Niu","Özgür Özmen",2
"Özgür Özmen","Hilda B. Klasky",2
"Özgür Özmen","Jeanie M. Scott",2
"Özgür Özmen","Jonathan R. Nebeker",2
"Özgür Özmen","Laura Pullum",2
"Özgür Özmen","Merry Ward",2
"Mohammad M. Olama","Özgür Özmen",2
"Olufemi A. Omitaomu","Özgür Özmen",2
"Özgür Özmen","P. Teja Kuruganti",2
"Qing C. Cao","Özgür Özmen",2
"Savas Yildirim","Özgür Akarsu",2
"Sebnem Günes Söyler","Özgür Akarsu",2
"A. B. Siddique","Fuad T. Jamour",2
"A. B. Siddique","Samet Oymak",2
"Umar Farooq 0002","A. B. Siddique",2
"A. B. Siddique","Vagelis Hristidis",4
"A. B. Siddique","Zhijia Zhao 0001",2
"Alan B. Cannaday","A. J. Maltenfort",2
"Curt H. Davis","A. J. Maltenfort",2
"A. K. M. Shahariar Azad Rabby","Fuad Rahman",2
"A. K. M. Shahariar Azad Rabby","Jebun Nahar",2
"A. K. M. Shahariar Azad Rabby","Md. Majedul Islam",2
"A. K. M. Shahariar Azad Rabby","Nazmul Hasan",2
"A. K. Singh","Navneet Goyal",2
"Batihan Sener","A. Murat Ozbayoglu",2
"Gokberk Serin","A. Murat Ozbayoglu",2
"A. Murat Ozbayoglu","Hakki Özgür Ünver",2
"M. Ugur Gudelek","A. Murat Ozbayoglu",2
"Alexander J. M. Kell","A. Stephen McGough",2
"Amir Atapour Abarghouei","A. Stephen McGough",2
"A. Stephen McGough","David S. Wall",2
"Matthew Forshaw","A. Stephen McGough",2
"Kristian Gingstad","Øyvind Jekteberg",2
"Øyvind Jekteberg","Krisztian Balog",2
"Émilien Arnaud","Gilles Dequen",2
"Émilien Arnaud","Mahmoud Elbattah",2
"Émilien Arnaud","Maxime Gignon",2
"Fuqi Song","Éric de la Clergerie",2
"Aabhas Chauhan","Jiawei Han 0001",2
"Aabhas Chauhan","Qi Li",2
"Xuan Wang","Aabhas Chauhan",2
"Yu Zhang","Aabhas Chauhan",2
"Baodi Shan","Aabid Shamji",2
"Aabid Shamji","Dingwen Tao",2
"Aabid Shamji","Guanpeng Li",2
"Aabid Shamji","Jiannan Tian",2
"Aamir Manaswala","Bradley C. Turnbull",2
"Lanbo Zhang","Aamir Manaswala",2
"Aamir Manaswala","Lynn Yang",2
"Malay Haldar","Aamir Manaswala",2
"Mustafa Abdool","Aamir Manaswala",2
"Prashant Ramanathan","Aamir Manaswala",2
"Aamir Manaswala","Qing Zhang",2
"Aamir Manaswala","Thomas Legrand",2
"Tyler Sax","Aamir Manaswala",2
"Aamir Mansawala","Bradley C. Turnbull",2
"Aamir Mansawala","Junshuo Liao",2
"Lanbo Zhang","Aamir Mansawala",2
"Malay Haldar","Aamir Mansawala",2
"Mustafa Abdool","Aamir Mansawala",2
"Prashant Ramanathan","Aamir Mansawala",2
"Aamir Mansawala","Shulin Yang",2
"Tyler Sax","Aamir Mansawala",2
"Eugene Castillo","Aaron Choate",2
"Hanna Robbins Hopkins","Aaron Choate",2
"Kewen Wang","Aaron Choate",2
"Maria Esteva","Aaron Choate",2
"Peter Cui","Aaron Choate",2
"Aaron Choate","Ruizhu Huang",2
"Tanya Clement","Aaron Choate",2
"Weijia Xu","Aaron Choate",2
"Aaron D. Vose","Amar G. Chittiboyina",2
"Aaron D. Vose","Charles R. Yates",2
"Aaron D. Vose","Ikhlas A. Khan",2
"Jacob Balma","Aaron D. Vose",2
"Aaron D. Vose","Pankaj Pandey",2
"Aaron D. Vose","Sreenivas R. Sukumar",2
"Aaron D. Vose","Yuri K. Peterson",2
"Bharatbhushan Shetty","Aaron Flores",2
"Brendan Kitts","Aaron Flores",2
"Djordje Gligorijevic","Aaron Flores",4
"Jelena Gligorijevic","Aaron Flores",2
"Junwei Pan","Aaron Flores",2
"Shengjun Pan","Aaron Flores",2
"Tian Zhou","Aaron Flores",2
"Nicholas O. Malott","Aaron M. Sens",2
"Aaron M. Sens","Philip A. Wilsey",2
"Balaje T. Thumati","Aaron Page",2
"Aaron Page","David Followell",2
"Halasya Siva Subramania","Aaron Page",2
"Karthik Kalyana Kumar","Aaron Page",2
"Nicole Hessner","Aaron Page",2
"Rajeev Shastri","Aaron Page",2
"Vincent Villa","Aaron Page",2
"Aarzoo Dhiman","Durga Toshniwal",2
"Aasish Pappu","Brian Brost",2
"Federico Tomasi","Aasish Pappu",2
"Aasish Pappu","Hugo Galvão",2
"Aasish Pappu","Judith Bütepage",2
"Aasish Pappu","Mounia Lalmas",2
"Rishabh Mehrotra","Aasish Pappu",2
"Abbas Mazloumi","Chengshuo Xu",2
"Abbas Mazloumi","Rajiv Gupta 0001",2
"Abbas Mazloumi","Zhijia Zhao 0001",2
"Erdogan Dogdu","Abdül Kadir Görür",2
"Hamza Haruna Mohammed","Abdül Kadir Görür",2
"Abdül Kadir Görür","Roya Choupani",2
"Jennifer Brooks","Abdou Youssef",2
"Zhantong Liang","Abdou Youssef",2
"Vishal Mandal","Abdul Rashid Mussah",2
"Abdul Rashid Mussah","Yaw Adu-Gyamfi",2
"Abdulaziz Alajaji","Aidan Murphy",2
"Abdulaziz Alajaji","Elke A. Rundensteiner",4
"Abdulaziz Alajaji","Emmanuel Agu",4
"Abdulaziz Alajaji","Hamid Mansoor",4
"Kavin Chandrasekaran","Abdulaziz Alajaji",4
"Luke Buquicchio","Abdulaziz Alajaji",4
"Walter Gerych","Abdulaziz Alajaji",4
"Abdullah Alfarrarjeh","Aditi Deepak",2
"Abdullah Alfarrarjeh","Cyrus Shahabi",2
"Dweep Trivedi","Abdullah Alfarrarjeh",2
"Abdullah Alfarrarjeh","Seon Ho Kim",2
"Vinuta Hegde","Abdullah Alfarrarjeh",2
"Abdullah Almoqbil","Brenda Alejandre",2
"Abdullah Almoqbil","Brian O'Connor",2
"Abdullah Almoqbil","Jibril Shittu",2
"Abdullah Almoqbil","Patrick McLeod",2
"Abdullah Almoqbil","Rich Anderson",2
"Abdullah Almoqbil","Shailesh Kulkarni",2
"Farhan Asif Chowdhury","Abdullah Mueen",2
"Vinicius M. A. Souza","Abdullah Mueen",2
"Da Yan 0001","Abdullateef Ibrahim Almudaifer",2
"Abdullateef Ibrahim Almudaifer","Sibo Yan",2
"Abdullateef Ibrahim Almudaifer","Yang Zhou",2
"Yingzhe Dong","Abdullateef Ibrahim Almudaifer",2
"Abdullateef Ibrahim Almudaifer","Zhe Jiang 0001",2
"André Freitas","Abdullatif Abolohom",2
"Davide Ceolin","Abdullatif Abolohom",2
"Raphaël Troncy","Abdullatif Abolohom",2
"Tareq Al-Moslmi","Abdullatif Abolohom",2
"Abe Ittycheriah","Cong Yu 0001",2
"Shan Jiang","Abe Ittycheriah",2
"Simon Baumgartner","Abe Ittycheriah",2
"Abeer El-Bahrawy","Joss Wright",2
"Abeer El-Bahrawy","Mark Graham",2
"Abeer El-Bahrawy","Martin Dittus",2
"Sam Miller","Abeer El-Bahrawy",2
"Abhisek Dash","Abhijnan Chakraborty",2
"Anurag Shandilya","Abhijnan Chakraborty",2
"Arpita Biswas","Abhijnan Chakraborty",2
"Ashmi Banerjee","Abhijnan Chakraborty",2
"Gourab K. Patro","Abhijnan Chakraborty",4
"Abhijnan Chakraborty","Kripabandhu Ghosh",2
"Krishna P. Gummadi","Abhijnan Chakraborty",2
"Linus W. Dietz","Abhijnan Chakraborty",2
"Niloy Ganguly","Abhijnan Chakraborty",2
"Abhijnan Chakraborty","Saptarshi Ghosh 0001",2
"Abhilash Dorle","Fangyu Li",2
"Abhilash Dorle","Sheng Li 0001",2
"Abhilash Dorle","Wenzhan Song",2
"Abhinav Jain","Hima Patel",2
"Abhinav Jain","Lokesh Nagalapatti",2
"Abhinav Jain","Nitin Gupta",2
"Abhinav Jain","Ruhi Sharma Mittal",2
"Abhinav Jain","Sameep Mehta",2
"Abhinav Jain","Shanmukha C. Guttula",2
"Abhinav Jain","Shashank Mujumdar",2
"Abhinav Jain","Shazia Afzal",2
"Abhinav Jain","Vitobha Munigala",2
"Abhinav Mathur","Kannan Achan",2
"Ramasubramanian Balasubramanian","Abhinav Mathur",2
"Sushant Kumar","Abhinav Mathur",2
"Venugopal Mani","Abhinav Mathur",2
"Abhinav Rai","Ashish Gupta",2
"Abhinav Rai","Chandrakant Bharti",2
"Chepuri Shri Krishna","Abhinav Rai",2
"Abhinav Rai","Gursirat Singh Sodhi",2
"Abhinav Rai","Himanshu Rai",2
"Abhinav Rai","Nitinbalaji Singh",2
"Swarnim Narayan","Abhinav Rai",2
"Varun Mishra","Abhinav Rai",2
"Anurag Shandilya","Abhisek Dash",2
"Abhisek Dash","Kripabandhu Ghosh",2
"Abhisek Dash","Saptarshi Ghosh 0001",2
"Chaitali Prabhu","Abhishek Nadgeri",2
"Isaiah Onando Mulang","Abhishek Nadgeri",2
"Abhishek Nadgeri","Jens Lehmann 0001",2
"Abhishek Nadgeri","Johannes Hoffart",2
"Kuldeep Singh 0001","Abhishek Nadgeri",2
"Heer Ambavi","Abhisht Tiwari",2
"Kavita Vaishnaw","Abhisht Tiwari",2
"Abhisht Tiwari","Mayank Singh 0001",2
"Udit Vyas","Abhisht Tiwari",2
"Aviad Elyashar","Abigail Paradise",2
"Abigail Paradise","Rami Puzis",2
"Sagi Uziel","Abigail Paradise",2
"Abir Farouzi","Carlos Ordonez 0001",2
"Abir Farouzi","Gopal Pandurangan",2
"Abir Farouzi","Ladjel Bellatreche",2
"Abir Farouzi","Mimoun Malki",2
"Daniele Dell'Aglio","Abraham Bernstein",2
"Abraham Miller","Arthur Liu",2
"Abraham Miller","Kyle Coburn",2
"Abraham Miller","Luis J. Salazar",2
"Ying Li","Abraham Miller",2
"Abrar Rahman","Fuad Rahman",2
"Abrar Rahman","John Kriak",2
"Abrar Rahman","Rick Meyer",2
"Abrar Rahman","Sidney Goldblatt",2
"Achim Basermann","Achim Streit",2
"Björn Hagemeier","Achim Basermann",2
"Charlotte Debus","Achim Basermann",2
"Claudia Comito","Achim Basermann",2
"Daniel Coquelin","Achim Basermann",2
"Kai Krajsek","Achim Basermann",2
"Markus Götz","Achim Basermann",2
