"from","to","weight"
"Martin Siggel","Achim Basermann",2
"Michael Tarnawa","Achim Basermann",2
"Philipp Knechtges","Achim Basermann",2
"Simon Hanselmann","Achim Basermann",2
"Björn Hagemeier","Achim Streit",2
"Charlotte Debus","Achim Streit",2
"Claudia Comito","Achim Streit",2
"Daniel Coquelin","Achim Streit",2
"Kai Krajsek","Achim Streit",2
"Markus Götz","Achim Streit",2
"Martin Siggel","Achim Streit",2
"Michael Tarnawa","Achim Streit",2
"Philipp Knechtges","Achim Streit",2
"Simon Hanselmann","Achim Streit",2
"Achir Kalra","Cristian Borcea",2
"Shuai Zhao","Achir Kalra",2
"Achir Kalra","Yi Chen 0001",2
"Adam Barker","Sheriffo Ceesay",2
"Yuhui Lin","Adam Barker",2
"Amir Rahmati","Adam Bates 0001",2
"Michael Grace","Adam Bates 0001",2
"Prabuddha Kumar","Adam Bates 0001",2
"Pubali Datta","Adam Bates 0001",2
"Tristan Morris","Adam Bates 0001",2
"Adam Breuer","Roee Eilat",2
"Adam Breuer","Udi Weinsberg",2
"Alexander Spangher","Adam Fourney",2
"Besmira Nushi","Adam Fourney",2
"Adam Fourney","Eric Horvitz",2
"Gireeja Ranade","Adam Fourney",2
"Adam Henderson","Huan Liu 0001",2
"Adam Henderson","Liangjie Hong",2
"Ruocheng Guo","Adam Henderson",2
"Xiaoting Zhao","Adam Henderson",2
"Michael Färber 0001","Adam Jatowt",2
"Adam Jatowt","Sora Lim",2
"Victoria Burkard","Adam Jatowt",2
"Jonathan Donnelly","Adam Roegiest",2
"John Celona","Adam Seiver",2
"Louis Halamek","Adam Seiver",2
"Yadnyesh Y. Luktuke","Adam W. Hoover",2
"Adamma Morrison","Kelsey A. Shaffer",2
"Laura H. Kahn","Adamma Morrison",2
"Adamma Morrison","Lila Zapata",2
"Onur Savas","Adamma Morrison",2
"Siddhant Garg","Adarsh Kumar 0001",2
"Adarsh Kumar 0001","Vibhor Goel",2
"Adarsh Kumar 0001","Yingyu Liang",2
"Addi Thakur Malviya","Angela Laurio",2
"Addi Thakur Malviya","Brian C. Sauer",2
"Addi Thakur Malviya","Frank Drews",2
"Haoran Niu","Addi Thakur Malviya",2
"Hilda B. Klasky","Addi Thakur Malviya",2
"Addi Thakur Malviya","Jeanie M. Scott",2
"Addi Thakur Malviya","Jonathan R. Nebeker",2
"Laura Pullum","Addi Thakur Malviya",2
"Addi Thakur Malviya","Merry Ward",2
"Mohammad M. Olama","Addi Thakur Malviya",2
"Olufemi A. Omitaomu","Addi Thakur Malviya",2
"Addi Thakur Malviya","P. Teja Kuruganti",2
"Qing C. Cao","Addi Thakur Malviya",2
"Alaa Maalouf","Adiel Statman",2
"Adiel Statman","Dan Feldman",2
"Edivaldo Pastori Valentini","Adil Alsuhaim",2
"Rodolfo Ipolito Meneguette","Adil Alsuhaim",2
"Adina Crainiceanu","Don Needham",2
"Kajal Pansare","Adina Crainiceanu",2
"Samson Oni","Adina Crainiceanu",2
"Sukrit Singh Arneja","Adina Crainiceanu",2
"Zhiyuan Chen","Adina Crainiceanu",2
"Adir Solomon","Amit Magen",2
"Adir Solomon","Bracha Shapira",2
"Adir Solomon","Lior Rokach",2
"Adir Solomon","Mor Kertis",2
"Adir Solomon","Simo Hanouna",2
"Adit Krishnan","Hari Sundaram",2
"Yuxin Xiao","Adit Krishnan",2
"Adithya Kumar","Anand Sivasubramaniam",2
"Adithya Kumar","Iyswarya Narayanan",2
"Adithya Kumar","Timothy Zhu",2
"Aditi Deepak","Cyrus Shahabi",2
"Dweep Trivedi","Aditi Deepak",2
"Aditi Deepak","Seon Ho Kim",2
"Vinuta Hegde","Aditi Deepak",2
"Amar Viswanathan Kannan","Aditi Roy",2
"Aditi Roy","Arnav V. Malawade",2
"Arquimedes Canedo","Aditi Roy",2
"Dmitriy Fradkin","Aditi Roy",2
"Ioannis Akrotirianakis","Aditi Roy",2
"Aditi Roy","Mohammad Abdullah Al Faruque",2
"Aditi Roy","Shih-Yuan Yu",2
"Tugba Kulahcioglu","Aditi Roy",2
"Elke A. Rundensteiner","Aditya Arora",2
"Jihane Zouaoui","Aditya Arora",2
"Xiangnan Kong","Aditya Arora",2
"Zhongfang Zhuang","Aditya Arora",2
"Aditya Joshi","Cécile Paris",2
"Aditya Joshi","Guandong Xu",2
"Rhys Biddle","Aditya Joshi",2
"Aditya Joshi","Shaowu Liu",2
"Aditya Mantha","Anirudha Sundaresan",2
"Aditya Mantha","Gaoyang Wang",2
"Aditya Mantha","Kannan Achan",2
"Aditya Mantha","Praveenkumar Kanumala",2
"Aditya Mantha","Shashank Kedia",2
"Aditya Mantha","Shubham Gupta",2
"Aditya Mantha","Stephen Guo",2
"Aditya Mantha","Yokila Arora",2
"Aditya Pal","Andrew Zhai",2
"Aditya Pal","Bo Zhao",2
"Carl Yang","Aditya Pal",2
"Aditya Pal","Chantat Eksombatchai",2
"Aditya Pal","Charles Rosenberg",4
"Aditya Pal","Jiawei Han 0001",2
"Aditya Pal","Jure Leskovec",4
"Aditya Pal","Nikil Pancha",2
"Aditya Pal","Yitong Zhou",2
"Karthik Kashinath","Adrian Albert",2
"Mustafa Mustafa","Adrian Albert",2
"Adrian Albert","Rose Yu",2
"Rui Wang","Adrian Albert",2
"Aris Anagnostopoulos","Adriano Fazzone",2
"Adriano Fazzone","Chris Schwiegelshohn",2
"Adriano Fazzone","Cristina Menghini",2
"Luca Becchetti","Adriano Fazzone",2
"Adriano Lange","Eduardo Cunha de Almeida",2
"Adriano Lange","Marcos Sfair Sunye",2
"Adriano Lange","Tiago Rodrigo Kepe",2
"Adrien Bibal","Benoît Frénay",2
"Adrien Bibal","José Oramas",2
"Adrien Bibal","Luis Galárraga",2
"Adrien Bibal","Tassadit Bouadi",2
"Justine Caylor","Adrienne Raglin",2
"Somiya Metu","Adrienne Raglin",2
"Aiswarya Sriram","Advithi Nair",2
"Advithi Nair","Alka Simon",2
"Advithi Nair","Dinkar Sitaram",2
"Advithi Nair","Subramaniam Kalambur",2
"Aekyeung Moon","Jialing Zhang",2
"Aekyeung Moon","Jiuk Jung",2
"Aekyeung Moon","Seung Woo Son 0001",4
"Aekyeung Moon","Xiaoyan Zhuo",2
"Aekyeung Moon","Yun Jeong Song",4
"Nur Aini Rakhmawati","Ahmad Choirun Najib",2
"Ahmad Muaz Qamar","Akhlaq Ahmad",2
"Emad A. Felemban","Ahmad Muaz Qamar",2
"Faizan Ur Rehman","Ahmad Muaz Qamar",2
"Ahmad Muaz Qamar","Mohd. Adib Omar",2
"Ahmad Muaz Qamar","Muhammad Rashid",2
"Khalid T. Mursi","Ahmad O. Aseeri",2
"Meznah A. Alamro","Ahmad O. Aseeri",2
"Mohammed Saeed Alkatheiri","Ahmad O. Aseeri",2
"Yu Zhuang","Ahmad O. Aseeri",2
"Ahmad Sakor","Anery Patel",2
"Ahmad Sakor","Kuldeep Singh",2
"Ahmad Sakor","Maria-Esther Vidal",2
"Ahmed Alhussen","Engin Arslan",2
"Samriddhi Singla","Ahmed Eldawy",2
"Ahmed Hassan Awadallah","Bogdan Popp",2
"Chetan Bansal","Ahmed Hassan Awadallah",2
"Ahmed Hassan Awadallah","Farheen Omar",2
"Ahmed Hassan Awadallah","Farnaz Jahanbakhsh",2
"Ahmed Hassan Awadallah","Nachiappan Nagappan",2
"Nikitha Rao","Ahmed Hassan Awadallah",2
"Ahmed Hassan Awadallah","Robert Rounthwaite",2
"Ahmed Hassan Awadallah","Susan T. Dumais",2
"Thomas Zimmermann 0001","Ahmed Hassan Awadallah",2
"Xuhai Xu","Ahmed Hassan Awadallah",2
"Chetan Gupta 0001","Ahmed K. Farahat",2
"Jared Vanderwees","Ahmed Lasisi",2
"Ahmed Lasisi","Jonathan Regehr",2
"Penghang Liu","Ahmet Erdem Sariyüce",2
"Baifan Zhou","Ahmet Soylu",2
"Ahmet Soylu","Evgeny Kharlamov",2
"Ildar Baimuratov","Ahmet Soylu",2
"Tim Pychynski","Ahmet Soylu",2
"Yulia Svetashova","Ahmet Soylu",2
"Chathura Widanage","Ahmet Uyar",2
"Ahmet Uyar","Damitha Lenadora",2
"Ahmet Uyar","Geoffrey C. Fox",2
"Ahmet Uyar","Hasara Maithree",2
"Niranda Perera","Ahmet Uyar",2
"Pulasthi Wickramasinghe","Ahmet Uyar",2
"Supun Kamburugamuve","Ahmet Uyar",2
"Thejaka Amila Kanewala","Ahmet Uyar",2
"Vibhatha Abeykoon","Ahmet Uyar",2
"Ahnaf Farhan","Mahmud Shahriar Hossain",2
"Aida Omani","Allan Hanbury",2
"Aida Omani","Farid Karimipour",2
"Georg Heiler","Aida Omani",2
"Jan Hurt","Aida Omani",2
"Mohammad Forghani","Aida Omani",2
"Tobias Reisch","Aida Omani",2
"Javier Carrasco","Aidan Hogan",2
"Aidan Hogan","Jorge Pérez 0001",2
"Aidan Murphy","Elke A. Rundensteiner",2
"Aidan Murphy","Emmanuel Agu",2
"Hamid Mansoor","Aidan Murphy",2
"Kavin Chandrasekaran","Aidan Murphy",2
"Luke Buquicchio","Aidan Murphy",2
"Walter Gerych","Aidan Murphy",2
"Changyou Chen","Aidong Zhang",2
"Guangxu Xun","Aidong Zhang",4
"Jianhui Sun","Aidong Zhang",6
"Jiayi Chen","Aidong Zhang",2
"Jingyuan Chou","Aidong Zhang",2
"Kishlay Jha","Aidong Zhang",2
"Liuyi Yao","Aidong Zhang",2
"Mengdi Huai","Aidong Zhang",2
"Qiuling Suo","Aidong Zhang",4
"Renqin Cai","Aidong Zhang",2
"Weida Zhong","Aidong Zhang",4
"Aikaterini Karampasi","George K. Matsopoulos",2
"Aikaterini Karampasi","Georgios N. Dimitrakopoulos",2
"Aikaterini Karampasi","Ioannis Kakkos",2
"Aikaterini Karampasi","Ioannis Zorzos",2
"Aikaterini Karampasi","Kostakis Gkiatis",2
"Aikaterini Karampasi","Panteleimon Asvestas",2
"Aikaterini Karampasi","Stavros Theofanis Miloulis",2
"Ailing Yang","Fang Wang",2
"Fucun Li","Ailing Yang",2
"Ailing Yang","Geng Sun",2
"Ailing Yang","Huaming Chen",2
"Ailing Yang","Jiaqi Li",2
"Ailing Yang","Jun Shen 0001",2
"Ailing Yang","Yunzhou Xie",2
"Alessandro Castelnovo","Aisha Naseer",2
"Aisha Naseer","Beatriz San Miguel González",2
"Aisha Naseer","Daniele Regoli",2
"Giulia Del Gamba","Aisha Naseer",2
"Greta Greco","Aisha Naseer",2
"Riccardo Crupi","Aisha Naseer",2
"Aiswarya Sriram","Alka Simon",2
"Aiswarya Sriram","Dinkar Sitaram",2
"Aiswarya Sriram","Subramaniam Kalambur",2
"Handong Zhao","Ajinkya Kale",2
"Ajinkya Kale","Vipin Kumar",2
"Xiaowei Jia","Ajinkya Kale",2
"Zhe Lin 0001","Ajinkya Kale",2
"Akansha Bhardwaj","Carolin Reischauer",2
"Giuseppe Cuccu","Akansha Bhardwaj",2
"Akansha Bhardwaj","Harriet Thöny",2
"Johan Jobin","Akansha Bhardwaj",2
"Julien Clément","Akansha Bhardwaj",2
"Akansha Bhardwaj","Philippe Cudré-Mauroux",2
"Akash Kumar Gautam","Debanjan Mahata",2
"Akash Kumar Gautam","Puneet Mathur",2
"Akash Kumar Gautam","Rajiv Ratn Shah",2
"Akash Kumar Gautam","Rakesh Gosangi",2
"Akash Kumar Gautam","Ramit Sawhney",2
"Akash Rupela","Balaji Krishnamurthy",2
"Nupur Kumari","Akash Rupela",2
"Akash Rupela","Piyush Gupta",2
"Siddarth R.","Akash Rupela",2
"Akbar Siami Namin","David R. W. Sears",2
"Faranak Abri","Akbar Siami Namin",4
"Akbar Siami Namin","Keith S. Jones",6
"Luis Felipe Gutiérrez","Akbar Siami Namin",6
"Miriam Armstrong","Akbar Siami Namin",2
"Natalie Lodinger","Akbar Siami Namin",2
"Neda Tavakoli","Akbar Siami Namin",2
"Prerit Datta","Akbar Siami Namin",2
"Shuvalaxmi Dass","Akbar Siami Namin",2
"Sima Siami-Namini","Akbar Siami Namin",2
"Akhil Sai Peddireddy","Brian Klahn",2
"Akhil Sai Peddireddy","Dawen Xie",2
"Akhil Sai Peddireddy","Dustin Machi",2
"Akhil Sai Peddireddy","Erin Raymond",2
"Akhil Sai Peddireddy","Madhav Marathe",2
"Akhil Sai Peddireddy","Mandy L. Wilson",2
"Akhil Sai Peddireddy","Parantapa Bhattacharya",2
"Akhil Sai Peddireddy","Pramod Patil",2
"Akhil Sai Peddireddy","Przemyslaw Porebski",2
"Akhil Sai Peddireddy","Shirish Dumbre",2
"Akhil Sai Peddireddy","Srinivasan Venkatramanan",2
"Emad A. Felemban","Akhlaq Ahmad",2
"Faizan Ur Rehman","Akhlaq Ahmad",2
"Akihiro Fujita","Daiju Nakano",2
"Daniel P. Sanders","Akihiro Fujita",2
"Dmitry Zubarev","Akihiro Fujita",2
"Hideaki Nakashika","Akihiro Fujita",2
"Akihiro Fujita","Hiroki Toda",2
"Hsiang-Han Hsu","Akihiro Fujita",2
"Jed W. Pitera","Akihiro Fujita",2
"Akihiro Fujita","Katsuhiko Hino",2
"Akihiro Fujita","Kentaro Yano",2
"Makoto Kogoh","Akihiro Fujita",2
"Seiji Takeda","Akihiro Fujita",2
"Akihiro Fujita","Shuichi Hirose",2
"Takumi Hongo","Akihiro Fujita",2
"Toshiyuki Hama","Akihiro Fujita",2
"Victoria A. Piunova","Akihiro Fujita",2
"Wolf Bocanett","Akihiro Fujita",2
"Akihiro Fujita","Yasumitsu Orii",2
"Yenwei Cheng","Akihiro Fujita",2
"Akihiro Fujita","Yuta Tsuchiya",2
"André Greiner-Petter","Akiko Aizawa",2
"Akiko Aizawa","Bela Gipp",2
"Corinna Breitinger","Akiko Aizawa",2
"Fabian Müller","Akiko Aizawa",2
"Howard S. Cohl","Akiko Aizawa",2
"Moritz Schubotz","Akiko Aizawa",2
"Satoshi Kuwamoto","Akinori Asahara",2
"Yu Kitano","Akinori Asahara",2
"Makoto P. Kato","Akiomi Nishida",2
"Akiomi Nishida","Sumio Fujita",2
"Akiomi Nishida","Takehiro Yamamoto",2
"Akiomi Nishida","Tomohiro Manabe",2
"Hidehiro Matsumoto","Akira Ishii",2
"Kazuki Osawa","Akira Naruse",2
"Akira Naruse","Rio Yokota",2
"Yohei Tsuji","Akira Naruse",2
"Yuichiro Ueno","Akira Naruse",2
"Ala Eddine Ayadi","Estelle Afshar",2
"Ala Eddine Ayadi","Matthew S. Hagen",2
"Osama Sakhi","Ala Eddine Ayadi",2
"Yuanbo Wang","Ala Eddine Ayadi",2
"Alaa Aljiffry","Alexey Tumanov",2
"Alind Khare","Alaa Aljiffry",2
"Alaa Aljiffry","Jimeng Sun",2
"Kevin O. Maher","Alaa Aljiffry",2
"Satria Priambada","Alaa Aljiffry",2
"Shenda Hong","Alaa Aljiffry",2
"Yanbo Xu","Alaa Aljiffry",2
"Alaa Maalouf","Dan Feldman",2
"Alan B. Cannaday","Curt H. Davis",2
"Ata Akbari Asanjan","Alan Li",2
"Alan Li","Juan Torres-Perez",2
"Kamalika Das","Alan Li",2
"Alan Li","Soroosh Sorooshian",2
"Alan Li","Ved Chirayath",2
"Carlos Ledezma","Alan Mosca",2
"Dan Murphy","Alan Mosca",2
"Joao Gante","Alan Mosca",2
"Natalia Culakova","Alan Mosca",2
"Vahan Hovhannisyan","Alan Mosca",2
"Alan Sabirsh","Andreas Hellander",2
"Ben Blamey","Alan Sabirsh",2
"Johan Karlsson","Alan Sabirsh",2
"Alan Sabirsh","Ola Spjuth",2
"Oliver Stein","Alan Sabirsh",2
"Alan Sabirsh","Salman Toor",2
"Alan Sun","Harry Xiao",2
"Alane M. de Lima","André Luís Vignatti",2
"Alane M. de Lima","Murilo V. G. da Silva",2
"Alessio Bernardo","Albert Bifet",2
"Bernhard Pfahringer","Albert Bifet",2
"Bruno Veloso","Albert Bifet",2
"Dihia Boulegane","Albert Bifet",2
"Albert Bifet","Emanuele Della Valle",2
"Albert Bifet","Giyyarpuram Madhusudan",2
"Albert Bifet","Haytham Elghazel",2
"Heitor Murilo Gomes","Albert Bifet",2
"Jacob Montiel","Albert Bifet",2
"Albert Bifet","João Gama 0001",2
"Maroua Bahri","Albert Bifet",2
"Hojung Nam","Albert No",2
"Hyojung Paik","Albert No",2
"Mark Stevenson","Albert No",2
"Sunyong Yoo","Albert No",2
"Aldo G. Carranza","Anup Rao 0002",2
"Aldo G. Carranza","Eunyee Koh",2
"Aldo G. Carranza","Ryan A. Rossi",2
"Aldo Lipani","Allan Hanbury",2
"Aldo Lipani","Markus Zlabinger",2
"Sebastian Hofstätter","Aldo Lipani",2
"Alec Austin","Ryan Benton",2
"Alireza Abdoli","Alec C. Gerry",2
"Amy C. Murillo","Alec C. Gerry",2
"Alec C. Gerry","Eamonn J. Keogh",2
"Alec C. Gerry","Leslie Hickle",2
"Sara Alaee","Alec C. Gerry",2
"Shima Imani","Alec C. Gerry",2
"Alejandro E. González","Emmanuel Arzuaga",2
"Aleksandar Bojchevski","Amol Kapoor",2
"Aleksandar Bojchevski","Benedek Rózemberczki",2
"Aleksandar Bojchevski","Bryan Perozzi",2
"Aleksandar Bojchevski","Johannes Klicpera",2
"Aleksandar Bojchevski","Martin Blais",2
"Aleksandar Bojchevski","Michal Lukasik",2
"Aleksandar Bojchevski","Stephan Günnemann",2
