2017,"DeepSD: Generating High Resolution Climate Change Projections through Single Image Super-Resolution.",KDD,"Thomas Vandal,Evan Kodra,Sangram Ganguly,Andrew R. Michaelis,Ramakrishna R. Nemani,Auroop R. Ganguly"
2020,"CoRel: Seed-Guided Topical Taxonomy Construction by Concept Learning and Relation Transferring.",KDD,"Jiaxin Huang,Yiqing Xie,Yu Meng 0001,Yunyi Zhang,Jiawei Han 0001"
2010,"Towards mobility-based clustering.",KDD,"Siyuan Liu,Yunhuai Liu,Lionel M. Ni,Jianping Fan 0002,Minglu Li 0001"
2012,"Sampling minimal frequent boolean (DNF) patterns.",KDD,"Geng Li,Mohammed J. Zaki"
2018,"Explanation Mining: Post Hoc Interpretability of Latent Factor Models for Recommendation Systems.",KDD,"Georgina Peake,Jun Wang"
2016,"Collective Sensemaking via Social Sensors: Extracting, Profiling, Analyzing, and Predicting Real-world Events.",KDD,"Yuheng Hu,Yu-Ru Lin,Jiebo Luo"
2010,"Mining positive and negative patterns for relevance feature discovery.",KDD,"Yuefeng Li,Abdulmohsen Algarni,Ning Zhong 0001"
2012,"Interaction and collective intelligence in internet computing.",KDD,"Deyi Li"
2011,"Driving with knowledge from the physical world.",KDD,"Jing Yuan 0007,Yu Zheng 0004,Xing Xie 0001,Guangzhong Sun"
2010,"Scalable influence maximization for prevalent viral marketing in large-scale social networks.",KDD,"Wei Chen 0013,Chi Wang 0001,Yajun Wang 0001"
2017,"Compass: Spatio Temporal Sentiment Analysis of US Election What Twitter Says!",KDD,"Debjyoti Paul,Feifei Li 0001,Murali Krishna Teja,Xin Yu,Richie Frost"
2017,"Learning to Generate Rock Descriptions from Multivariate Well Logs with Hierarchical Attention.",KDD,"Bin Tong,Martin Klinkigt,Makoto Iwayama,Toshihiko Yanase,Yoshiyuki Kobayashi,Anshuman Sahu,Ravigopal Vennelakanti"
2007,"A framework for simultaneous co-clustering and learning from complex data.",KDD,"Meghana Deodhar,Joydeep Ghosh"
2014,"Unfolding physiological state: mortality modelling in intensive care units.",KDD,"Marzyeh Ghassemi,Tristan Naumann,Finale Doshi-Velez,Nicole Brimmer,Rohit Joshi,Anna Rumshisky,Peter Szolovits"
2018,"Autotune: A Derivative-free Optimization Framework for Hyperparameter Tuning.",KDD,"Patrick Koch,Oleg Golovidov,Steven Gardner,Brett Wujek,Joshua Griffin,Yan Xu"
1998,"Rule Discovery from Time Series.",KDD,"Gautam Das 0001,King-Ip Lin,Heikki Mannila,Gopal Renganathan,Padhraic Smyth"
2013,"Network discovery via constrained tensor analysis of fMRI data.",KDD,"Ian N. Davidson,Sean Gilpin,Owen T. Carmichael,Peter B. Walker"
2017,"BDT: Gradient Boosted Decision Tables for High Accuracy and Scoring Efficiency.",KDD,"Yin Lou,Mikhail Obukhov"
2018,"A Unified Approach to Quantifying Algorithmic Unfairness: Measuring Individual &Group Unfairness via Inequality Indices.",KDD,"Till Speicher,Hoda Heidari,Nina Grgic-Hlaca,Krishna P. Gummadi,Adish Singla,Adrian Weller,Muhammad Bilal Zafar"
2003,"Efficient data reduction with EASE.",KDD,"Hervé Brönnimann,Bin Chen,Manoranjan Dash,Peter J. Haas,Peter Scheuermann"
2014,"Quantifying herding effects in crowd wisdom.",KDD,"Ting Wang,Dashun Wang,Fei Wang"
2013,"Fast structure learning in generalized stochastic processes with latent factors.",KDD,"Mohammad Taha Bahadori,Yan Liu 0002,Eric P. Xing"
2020,"HOPS: Probabilistic Subtree Mining for Small and Large Graphs.",KDD,"Pascal Welke,Florian Seiffarth,Michael Kamp,Stefan Wrobel"
