2015,"LightLDA: Big Topic Models on Modest Computer Clusters.",WWW,"Jinhui Yuan,Fei Gao,Qirong Ho,Wei Dai 0003,Jinliang Wei,Xun Zheng,Eric Po Xing,Tie-Yan Liu,Wei-Ying Ma"
2020,"Deep Global and Local Generative Model for Recommendation.",WWW,"Huafeng Liu,Liping Jing,Jingxuan Wen,Zhicheng Wu,Xiaoyi Sun,Jiaqi Wang,Lin Xiao,Jian Yu"
2007,"Organizing and searching the world wide web of facts -- step two: harnessing the wisdom of the crowds.",WWW,"Marius Pasca"
2017,"An Army of Me: Sockpuppets in Online Discussion Communities.",WWW,"Srijan Kumar,Justin Cheng,Jure Leskovec,V. S. Subrahmanian"
2006,"'e-science and cyberinfrastructure: a middleware perspective'.",WWW,"Anthony J. G. Hey"
2019,"Adversarial Point-of-Interest Recommendation.",WWW,"Fan Zhou 0002,Ruiyang Yin,Kunpeng Zhang,Goce Trajcevski,Ting Zhong,Jin Wu"
2007,"Defeating script injection attacks with browser-enforced embedded policies.",WWW,"Trevor Jim,Nikhil Swamy,Michael Hicks 0001"
2008,"Spatial variation in search engine queries.",WWW,"Lars Backstrom,Jon M. Kleinberg,Ravi Kumar 0001,Jasmine Novak"
2014,"User profiling in an ego network: co-profiling attributes and relationships.",WWW,"Rui Li,Chi Wang 0001,Kevin Chen-Chuan Chang"
2019,"(Mis)Information Dissemination in WhatsApp: Gathering, Analyzing and Countermeasures.",WWW,"Gustavo Resende,Philipe F. Melo,Hugo Sousa,Johnnatan Messias,Marisa Vasconcelos,Jussara M. Almeida,Fabrício Benevenuto"
2016,"Strengthening Weak Identities Through Inter-Domain Trust Transfer.",WWW,"Giridhari Venkatadri,Oana Goga,Changtao Zhong,Bimal Viswanath,Krishna P. Gummadi,Nishanth R. Sastry"
2017,"Mobile Sensing at the Service of Mental Well-being: a Large-scale Longitudinal Study.",WWW,"Sandra Servia Rodríguez,Kiran K. Rachuri,Cecilia Mascolo,Peter J. Rentfrow,Neal Lathia,Gillian M. Sandstrom"
2013,"TopRec: domain-specific recommendation through community topic mining in social network.",WWW,"Xi Zhang 0018,Jian Cheng 0001,Ting Yuan,Biao Niu,Hanqing Lu"
2020,"On the Robustness of Cascade Diffusion under Node Attacks.",WWW,"Alvis Logins,Yuchen Li 0001,Panagiotis Karras"
2003,"Scalable techniques for memory-efficient CDN simulations.",WWW,"Purushottam Kulkarni,Prashant J. Shenoy,Weibo Gong"
2010,"HTTP database connector (HDBC): RESTful access to relational databases.",WWW,"Alexandros Marinos,Erik Wilde,Jiannan Lu"
2020,"A Feedback Shift Correction in Predicting Conversion Rates under Delayed Feedback.",WWW,"Shota Yasui,Gota Morishita,Komei Fujita,Masashi Shibata"
2018,"Discovering Progression Stages in Trillion-Scale Behavior Logs.",WWW,"Kijung Shin,Mahdi Shafiei,Myunghwan Kim 0002,Aastha Jain,Hema Raghavan"
2013,"Rethinking the web as a personal archive.",WWW,"Siân E. Lindley,Catherine C. Marshall,Richard Banks,Abigail Sellen,Tim Regan"
2019,"Detect Rumors on Twitter by Promoting Information Campaigns with Generative Adversarial Learning.",WWW,"Jing Ma 0004,Wei Gao 0001,Kam-Fai Wong"
2019,"Learning Binary Hash Codes for Fast Anchor Link Retrieval across Networks.",WWW,"Yongqing Wang,Huawei Shen,Jinhua Gao,Xueqi Cheng"
2008,"Web graph similarity for anomaly detection (poster).",WWW,"Panagiotis Papadimitriou 0002,Ali Dasdan,Hector Garcia-Molina"
2009,"Where to adapt dynamic service compositions.",WWW,"Bo Jiang 0001,W. K. Chan 0001,Zhenyu Zhang 0004,T. H. Tse"
2020,"One Picture Is Worth a Thousand Words? The Pricing Power of Images in e-Commerce.",WWW,"Christof Naumzik,Stefan Feuerriegel"
2006,"Geographic locations of web servers.",WWW,"Katsuko T. Nakahira,Tetsuya Hoshino,Yoshiki Mikami"
2018,"On Ridesharing Competition and Accessibility: Evidence from Uber, Lyft, and Taxi.",WWW,"Shan Jiang 0008,Le Chen,Alan Mislove,Christo Wilson"
2014,"A time-based collective factorization for topic discovery and monitoring in news.",WWW,"Carmen K. Vaca,Amin Mantrach,Alejandro Jaimes,Marco Saerens"
2016,"Modeling User Consumption Sequences.",WWW,"Austin R. Benson,Ravi Kumar 0001,Andrew Tomkins"
2008,"Visualizing historical content of web pages.",WWW,"Adam Jatowt,Yukiko Kawai,Katsumi Tanaka"
2020,"Efficient Non-Sampling Factorization Machines for Optimal Context-Aware Recommendation.",WWW,"Chong Chen,Min Zhang 0006,Weizhi Ma,Yiqun Liu 0001,Shaoping Ma"
2019,"Measurement and Early Detection of Third-Party Application Abuse on Twitter.",WWW,"Shehroze Farooqi,Zubair Shafiq"
2008,"Improving relevance judgment of web search results with image excerpts.",WWW,"Zhiwei Li 0006,Shuming Shi 0001,Lei Zhang 0001"
2018,"Your Secrets Are Safe: How Browsers' Explanations Impact Misconceptions About Private Browsing Mode.",WWW,"Yuxi Wu,Panya Gupta,Miranda Wei,Yasemin Acar,Sascha Fahl,Blase Ur"
2013,"Ad impression forecasting for sponsored search.",WWW,"Abhirup Nath,Shibnath Mukherjee,Prateek Jain 0002,Navin Goyal,Srivatsan Laxman"
2016,"Using Hierarchical Skills for Optimized Task Assignment in Knowledge-Intensive Crowdsourcing.",WWW,"Panagiotis Mavridis,David Gross-Amblard,Zoltán Miklós 0001"
2019,"Unbiased LambdaMART: An Unbiased Pairwise Learning-to-Rank Algorithm.",WWW,"Ziniu Hu,Yang Wang,Qu Peng,Hang Li"
2013,"Pricing mechanisms for crowdsourcing markets.",WWW,"Yaron Singer,Manas Mittal"
2018,"RaRE: Social Rank Regulated Large-scale Network Embedding.",WWW,"Yupeng Gu,Yizhou Sun,Yanen Li,Yang Yang 0008"
2017,"Why We Read Wikipedia.",WWW,"Philipp Singer,Florian Lemmerich,Robert West 0001,Leila Zia,Ellery Wulczyn,Markus Strohmaier,Jure Leskovec"
2019,"Constructing Test Collections using Multi-armed Bandits and Active Learning.",WWW,"Md. Mustafizur Rahman,Mücahid Kutlu,Matthew Lease"
2001,"A RTP to HTTP video gateway.",WWW,"Mathias Johanson"
